pattern_id,pattern,bucket,days,language,status
DURB0001,1 day,1_to_2_days,1,english,active
DURB0002,1 days,1_to_2_days,1,english,active
DURB0003,1 ka adlaw,1_to_2_days,1,hiligaynon,active
DURB0004,1 araw,1_to_2_days,1,filipino,active
DURB0005,2 day,1_to_2_days,2,english,active
DURB0006,2 days,1_to_2_days,2,english,active
DURB0007,2 ka adlaw,1_to_2_days,2,hiligaynon,active
DURB0008,2 araw,1_to_2_days,2,filipino,active
DURB0009,3 day,3_to_4_days,3,english,active
DURB0010,3 days,3_to_4_days,3,english,active
DURB0011,3 ka adlaw,3_to_4_days,3,hiligaynon,active
DURB0012,3 araw,3_to_4_days,3,filipino,active
DURB0013,4 day,3_to_4_days,4,english,active
DURB0014,4 days,3_to_4_days,4,english,active
DURB0015,4 ka adlaw,3_to_4_days,4,hiligaynon,active
DURB0016,4 araw,3_to_4_days,4,filipino,active
DURB0017,5 day,5_plus_days,5,english,active
DURB0018,5 days,5_plus_days,5,english,active
DURB0019,5 ka adlaw,5_plus_days,5,hiligaynon,active
DURB0020,5 araw,5_plus_days,5,filipino,active
DURB0021,6 day,5_plus_days,6,english,active
DURB0022,6 days,5_plus_days,6,english,active
DURB0023,6 ka adlaw,5_plus_days,6,hiligaynon,active
DURB0024,6 araw,5_plus_days,6,filipino,active
DURB0025,7 day,5_plus_days,7,english,active
DURB0026,7 days,5_plus_days,7,english,active
DURB0027,7 ka adlaw,5_plus_days,7,hiligaynon,active
DURB0028,7 araw,5_plus_days,7,filipino,active
DURB0029,8 day,5_plus_days,8,english,active
DURB0030,8 days,5_plus_days,8,english,active
DURB0031,8 ka adlaw,5_plus_days,8,hiligaynon,active
DURB0032,8 araw,5_plus_days,8,filipino,active
DURB0033,9 day,5_plus_days,9,english,active
DURB0034,9 days,5_plus_days,9,english,active
DURB0035,9 ka adlaw,5_plus_days,9,hiligaynon,active
DURB0036,9 araw,5_plus_days,9,filipino,active
DURB0037,10 day,5_plus_days,10,english,active
DURB0038,10 days,5_plus_days,10,english,active
DURB0039,10 ka adlaw,5_plus_days,10,hiligaynon,active
DURB0040,10 araw,5_plus_days,10,filipino,active
DURB0041,11 day,5_plus_days,11,english,active
DURB0042,11 days,5_plus_days,11,english,active
DURB0043,11 ka adlaw,5_plus_days,11,hiligaynon,active
DURB0044,11 araw,5_plus_days,11,filipino,active
DURB0045,12 day,5_plus_days,12,english,active
DURB0046,12 days,5_plus_days,12,english,active
DURB0047,12 ka adlaw,5_plus_days,12,hiligaynon,active
DURB0048,12 araw,5_plus_days,12,filipino,active
DURB0049,13 day,5_plus_days,13,english,active
DURB0050,13 days,5_plus_days,13,english,active
DURB0051,13 ka adlaw,5_plus_days,13,hiligaynon,active
DURB0052,13 araw,5_plus_days,13,filipino,active
DURB0053,14 day,5_plus_days,14,english,active
DURB0054,14 days,5_plus_days,14,english,active
DURB0055,14 ka adlaw,5_plus_days,14,hiligaynon,active
