term_id,term,normalized,category,language,status
EN00001,Fever,fever,symptom,english,active
EN00002,Cough,cough,symptom,english,active
EN00003,Headache,headache,symptom,english,active
EN00004,Chest Pain,chest pain,symptom,english,active
EN00005,Difficulty Breathing,difficulty breathing,symptom,english,active
EN00006,Shortness of Breath,shortness of breath,symptom,english,active
EN00007,Vomiting,vomiting,symptom,english,active
EN00008,Diarrhea,diarrhea,symptom,english,active
EN00009,Abdominal Pain,abdominal pain,symptom,english,active
EN00010,Nausea,nausea,symptom,english,active
EN00011,Dizziness,dizziness,symptom,english,active
EN00012,Fatigue,fatigue,symptom,english,active
EN00013,Sore Throat,sore throat,symptom,english,active
EN00014,Runny Nose,runny nose,symptom,english,active
EN00015,Body Pain,body pain,symptom,english,active
EN00016,Back Pain,back pain,symptom,english,active
EN00017,Ear Pain,ear pain,symptom,english,active
EN00018,Eye Pain,eye pain,symptom,english,active
EN00019,Rash,rash,symptom,english,active
EN00020,Palpitations,palpitations,symptom,english,active
EN00021,Confusion,confusion,symptom,english,active
EN00022,Seizure,seizure,symptom,english,active
EN00023,Bleeding,bleeding,symptom,english,active
EN00024,Burn,burn,symptom,english,active
EN00025,Weakness,weakness,symptom,english,active
EN00026,Swelling,swelling,symptom,english,active
EN00027,Itching,itching,symptom,english,active
EN00028,Chills,chills,symptom,english,active
EN00029,Loss of Appetite,loss of appetite,symptom,english,active
EN00030,Urinary Pain,urinary pain,symptom,english,active
EN00031,Constipation,constipation,symptom,english,active
EN00032,Insomnia,insomnia,symptom,english,active
EN00033,Wheezing,wheezing,symptom,english,active
EN00034,Coughing Blood,coughing blood,symptom,english,active
EN00035,Vomiting Blood,vomiting blood,symptom,english,active
EN00036,Fainting,fainting,symptom,english,active
EN00037,Numbness,numbness,symptom,english,active
EN00038,Paralysis,paralysis,symptom,english,active
EN00039,Vision Loss,vision loss,symptom,english,active
EN00040,1-Methylhistidinuria,1-methylhistidinuria,symptom,english,active
EN00041,1-minute APGAR Score of 0,1-minute apgar score of 0,symptom,english,active
EN00042,1-minute APGAR Score of 1,1-minute apgar score of 1,symptom,english,active
EN00043,1-minute APGAR Score of 2,1-minute apgar score of 2,symptom,english,active
EN00044,1-minute APGAR Score of 3,1-minute apgar score of 3,symptom,english,active
EN00045,1-minute APGAR Score of 4,1-minute apgar score of 4,symptom,english,active
EN00046,1-minute APGAR Score of 5,1-minute apgar score of 5,symptom,english,active
EN00047,1-minute APGAR Score of 6,1-minute apgar score of 6,symptom,english,active
EN00048,10 Pairs of Ribs,10 pairs of ribs,symptom,english,active
EN00049,10-minute APGAR Score of 0,10-minute apgar score of 0,symptom,english,active
EN00050,10-minute APGAR Score of 1,10-minute apgar score of 1,symptom,english,active
EN00051,10-minute APGAR Score of 2,10-minute apgar score of 2,symptom,english,active
EN00052,10-minute APGAR Score of 3,10-minute apgar score of 3,symptom,english,active
EN00053,10-minute APGAR Score of 4,10-minute apgar score of 4,symptom,english,active
EN00054,10-minute APGAR Score of 5,10-minute apgar score of 5,symptom,english,active
EN00055,10-minute APGAR Score of 6,10-minute apgar score of 6,symptom,english,active
EN00056,11 Pairs of Ribs,11 pairs of ribs,symptom,english,active
EN00057,11 Thoracic Vertebrae,11 thoracic vertebrae,symptom,english,active
EN00058,2 Vessel Cord,2 vessel cord,symptom,english,active
EN00059,2 Vessel Umbilical Cord,2 vessel umbilical cord,symptom,english,active
EN00060,2'-deoxyadenosine (dAdo) Elevated in Urine,2'-deoxyadenosine (dado) elevated in urine,symptom,english,active
EN00061,"2,8-dihydroxyadenine Crystalluria","2,8-dihydroxyadenine crystalluria",symptom,english,active
EN00062,"2,8-dihydroxyadenine Urinary Crystals","2,8-dihydroxyadenine urinary crystals",symptom,english,active
EN00063,2--hydroxyphenylacetic Aciduria,2--hydroxyphenylacetic aciduria,symptom,english,active
EN00064,2-aminoadipic Aciduria,2-aminoadipic aciduria,symptom,english,active
EN00065,2-ethylhydracylic Aciduria,2-ethylhydracylic aciduria,symptom,english,active
EN00066,2-hydroxy-3-methylvaleric Acid High in Urine,2-hydroxy-3-methylvaleric acid high in urine,symptom,english,active
EN00067,2-hydroxyadipic Acid High in Urine,2-hydroxyadipic acid high in urine,symptom,english,active
EN00068,2-hydroxyadipic Aciduria,2-hydroxyadipic aciduria,symptom,english,active
EN00069,2-hydroxyglutarate Aciduria,2-hydroxyglutarate aciduria,symptom,english,active
EN00070,"2-methyl-2,3-dihydroxybutyrate High in Urine","2-methyl-2,3-dihydroxybutyrate high in urine",symptom,english,active
EN00071,2-methylacetoacetic Acid Present in Urine,2-methylacetoacetic acid present in urine,symptom,english,active
EN00072,2-Methylbutyryl Glycinuria,2-methylbutyryl glycinuria,symptom,english,active
EN00073,2-methylcitric Acid High in Urine,2-methylcitric acid high in urine,symptom,english,active
EN00074,2-oxoadipic Aciduria,2-oxoadipic aciduria,symptom,english,active
EN00075,2:1 Atrioventricular Block,2:1 atrioventricular block,symptom,english,active
EN00076,2:1 AV Block,2:1 av block,symptom,english,active
EN00077,2nd Toe Symphalangism,2nd toe symphalangism,symptom,english,active
EN00078,2nd-5th Toe Middle Phalangeal Hypoplasia,2nd-5th toe middle phalangeal hypoplasia,symptom,english,active
EN00079,3-hydroxydicarboxylic Aciduria,3-hydroxydicarboxylic aciduria,symptom,english,active
EN00080,3-hydroxyglutaric Acid High in Urine,3-hydroxyglutaric acid high in urine,symptom,english,active
EN00081,3-hydroxyisobutyryl-CoA Hydrolase Deficiency,3-hydroxyisobutyryl-coa hydrolase deficiency,symptom,english,active
EN00082,3-hydroxyisovaleric Aciduria,3-hydroxyisovaleric aciduria,symptom,english,active
EN00083,3-hydroxypropionic Acid High in Urine,3-hydroxypropionic acid high in urine,symptom,english,active
EN00084,3-ketoacyl-CoA Thiolase (THIO) Deficiency,3-ketoacyl-coa thiolase (thio) deficiency,symptom,english,active
