term_id,term,english,concept,language,status
,lagnat,Fever,fever,filipino,active
,may lagnat,Fever,fever,filipino,active
,nilalagnat,Fever,fever,filipino,active
,mataas ang lagnat,Fever,fever,filipino,active
,mainit ang katawan,Fever,fever,filipino,active
,ubo,Cough,cough,filipino,active
,may ubo,Cough,cough,filipino,active
,inuubo,Cough,cough,filipino,active
,umiubo,Cough,cough,filipino,active
,sipon,Runny Nose,runny_nose,filipino,active
,may sipon,Runny Nose,runny_nose,filipino,active
,baradong ilong,Runny Nose,runny_nose,filipino,active
,hirap huminga,Difficulty Breathing,difficulty_breathing,filipino,active
,nahihirapang huminga,Difficulty Breathing,difficulty_breathing,filipino,active
,kapos ang paghinga,Difficulty Breathing,difficulty_breathing,filipino,active
,hindi makahinga,Difficulty Breathing,difficulty_breathing,filipino,active
,sakit sa dibdib,Chest Pain,chest_pain,filipino,active
,masakit ang dibdib,Chest Pain,chest_pain,filipino,active
,pananakit ng dibdib,Chest Pain,chest_pain,filipino,active
,sakit ng tiyan,Abdominal Pain,abdominal_pain,filipino,active
,masakit ang tiyan,Abdominal Pain,abdominal_pain,filipino,active
,sakit sa tiyan,Abdominal Pain,abdominal_pain,filipino,active
,sakit ng ulo,Headache,headache,filipino,active
,masakit ang ulo,Headache,headache,filipino,active
,sumasakit ang ulo,Headache,headache,filipino,active
,nagsusuka,Vomiting,vomiting,filipino,active
,pagsusuka,Vomiting,vomiting,filipino,active
,sumuka,Vomiting,vomiting,filipino,active
,nasusuka,Nausea,nausea,filipino,active
,nakakaramdam ng pagduduwal,Nausea,nausea,filipino,active
,nahihilo,Dizziness,dizziness,filipino,active
,hilo,Dizziness,dizziness,filipino,active
,umaaligid ang paningin,Dizziness,dizziness,filipino,active
,nahihina,Weakness,weakness,filipino,active
,panghihina,Weakness,weakness,filipino,active
,pagod na pagod,Weakness,weakness,filipino,active
,pagtatae,Diarrhea,diarrhea,filipino,active
,nagtatae,Diarrhea,diarrhea,filipino,active
,matubig na dumi,Diarrhea,diarrhea,filipino,active
,masakit ang lalamunan,Sore Throat,sore_throat,filipino,active
,sakit ng lalamunan,Sore Throat,sore_throat,filipino,active
,sakit ng katawan,Body Pain,body_pain,filipino,active
,pananakit ng katawan,Body Pain,body_pain,filipino,active
,nagsusuka ng dugo,Vomiting Blood,vomiting_blood,filipino,active
,may dugo sa suka,Vomiting Blood,vomiting_blood,filipino,active
,umuubo ng dugo,Coughing Blood,coughing_blood,filipino,active
,may dugo sa plema,Coughing Blood,coughing_blood,filipino,active
,nahimatay,Fainting,fainting,filipino,active
,nawalan ng malay,Fainting,fainting,filipino,active
,dumudugo,Bleeding,bleeding,filipino,active
,matinding pagdurugo,Bleeding,bleeding,filipino,active
,buntis at dumudugo,Pregnancy Bleeding,pregnant_bleeding,filipino,active
,may dugo habang buntis,Pregnancy Bleeding,pregnant_bleeding,filipino,active
,may ulo,pain ulo,localized_pain,filipino,active
,may dibdib,pain dibdib,localized_pain,filipino,active
,may tiyan,pain tiyan,localized_pain,filipino,active
,may likod,pain likod,localized_pain,filipino,active
,may lalamunan,pain lalamunan,localized_pain,filipino,active
,may tenga,pain tenga,localized_pain,filipino,active
,may mata,pain mata,localized_pain,filipino,active
,may braso,pain braso,localized_pain,filipino,active
,may binti,pain binti,localized_pain,filipino,active
,may katawan,pain katawan,localized_pain,filipino,active
,masakit ang ulo,pain ulo,localized_pain,filipino,active
,masakit ang dibdib,pain dibdib,localized_pain,filipino,active
,masakit ang tiyan,pain tiyan,localized_pain,filipino,active
,masakit ang likod,pain likod,localized_pain,filipino,active
,masakit ang lalamunan,pain lalamunan,localized_pain,filipino,active
,masakit ang tenga,pain tenga,localized_pain,filipino,active
,masakit ang mata,pain mata,localized_pain,filipino,active
,masakit ang braso,pain braso,localized_pain,filipino,active
,masakit ang binti,pain binti,localized_pain,filipino,active
,masakit ang katawan,pain katawan,localized_pain,filipino,active
,sumasakit ang ulo,pain ulo,localized_pain,filipino,active
,sumasakit ang dibdib,pain dibdib,localized_pain,filipino,active
,sumasakit ang tiyan,pain tiyan,localized_pain,filipino,active
,sumasakit ang likod,pain likod,localized_pain,filipino,active
,sumasakit ang lalamunan,pain lalamunan,localized_pain,filipino,active
,sumasakit ang tenga,pain tenga,localized_pain,filipino,active
,sumasakit ang mata,pain mata,localized_pain,filipino,active
,sumasakit ang braso,pain braso,localized_pain,filipino,active
,sumasakit ang binti,pain binti,localized_pain,filipino,active
,sumasakit ang katawan,pain katawan,localized_pain,filipino,active
,nag ulo,pain ulo,localized_pain,filipino,active
,nag dibdib,pain dibdib,localized_pain,filipino,active
,nag tiyan,pain tiyan,localized_pain,filipino,active
,nag likod,pain likod,localized_pain,filipino,active
,nag lalamunan,pain lalamunan,localized_pain,filipino,active
,nag tenga,pain tenga,localized_pain,filipino,active
,nag mata,pain mata,localized_pain,filipino,active
,nag braso,pain braso,localized_pain,filipino,active
,nag binti,pain binti,localized_pain,filipino,active
,nag katawan,pain katawan,localized_pain,filipino,active
,nang ulo,pain ulo,localized_pain,filipino,active
,nang dibdib,pain dibdib,localized_pain,filipino,active
,nang tiyan,pain tiyan,localized_pain,filipino,active
,nang likod,pain likod,localized_pain,filipino,active
,nang lalamunan,pain lalamunan,localized_pain,filipino,active
,nang tenga,pain tenga,localized_pain,filipino,active
,nang mata,pain mata,localized_pain,filipino,active
,nang braso,pain braso,localized_pain,filipino,active
,nang binti,pain binti,localized_pain,filipino,active
,nang katawan,pain katawan,localized_pain,filipino,active
,lagnat,lagnat,lagnat,filipino,active
,may lagnat,lagnat,lagnat,filipino,active
,ako ay may lagnat,lagnat,lagnat,filipino,active
,meron akong lagnat,lagnat,lagnat,filipino,active
,nakakaranas ng lagnat,lagnat,lagnat,filipino,active
,ubo,ubo,ubo,filipino,active
,may ubo,ubo,ubo,filipino,active
,ako ay may ubo,ubo,ubo,filipino,active
,meron akong ubo,ubo,ubo,filipino,active
,nakakaranas ng ubo,ubo,ubo,filipino,active
,sipon,sipon,sipon,filipino,active
,may sipon,sipon,sipon,filipino,active
,ako ay may sipon,sipon,sipon,filipino,active
,meron akong sipon,sipon,sipon,filipino,active
,nakakaranas ng sipon,sipon,sipon,filipino,active
,hilo,hilo,hilo,filipino,active
,may hilo,hilo,hilo,filipino,active
,ako ay may hilo,hilo,hilo,filipino,active
,meron akong hilo,hilo,hilo,filipino,active
,nakakaranas ng hilo,hilo,hilo,filipino,active
