text,english_meaning,body_location_en,body_location_hiligaynon,symptom_en,symptom_hiligaynon
akon ulo sakit,my head pain,head,ulo,pain,sakit
gasakit ang akon ulo,my head pain,head,ulo,pain,sakit
may sakit ako sa ulo,my head pain,head,ulo,pain,sakit
ang akon ulo may sakit,my head pain,head,ulo,pain,sakit
akon ulo may sakit,my head pain,head,ulo,pain,sakit
ginasakit ang akon ulo,my head pain,head,ulo,pain,sakit
nagahubag ang akon ulo,my head pain,head,ulo,pain,sakit
nagatol ang akon ulo,my head pain,head,ulo,pain,sakit
akon gamay nga ulo sakit,my mild head pain,head,ulo,pain,sakit
gasakit ang akon gamay nga ulo,my mild head pain,head,ulo,pain,sakit
may sakit ako sa gamay nga ulo,my mild head pain,head,ulo,pain,sakit
ang akon gamay nga ulo may sakit,my mild head pain,head,ulo,pain,sakit
akon grabe nga ulo sakit,my severe head pain,head,ulo,pain,sakit
gasakit ang akon grabe nga ulo,my severe head pain,head,ulo,pain,sakit
may sakit ako sa grabe nga ulo,my severe head pain,head,ulo,pain,sakit
ang akon grabe nga ulo may sakit,my severe head pain,head,ulo,pain,sakit
akon gulpi nga ulo sakit,my sudden head pain,head,ulo,pain,sakit
gasakit ang akon gulpi nga ulo,my sudden head pain,head,ulo,pain,sakit
may sakit ako sa gulpi nga ulo,my sudden head pain,head,ulo,pain,sakit
ang akon gulpi nga ulo may sakit,my sudden head pain,head,ulo,pain,sakit
akon padayon nga ulo sakit,my persistent head pain,head,ulo,pain,sakit
gasakit ang akon padayon nga ulo,my persistent head pain,head,ulo,pain,sakit
may sakit ako sa padayon nga ulo,my persistent head pain,head,ulo,pain,sakit
ang akon padayon nga ulo may sakit,my persistent head pain,head,ulo,pain,sakit
akon pabalik-balik nga ulo sakit,my intermittent head pain,head,ulo,pain,sakit
gasakit ang akon pabalik-balik nga ulo,my intermittent head pain,head,ulo,pain,sakit
may sakit ako sa pabalik-balik nga ulo,my intermittent head pain,head,ulo,pain,sakit
ang akon pabalik-balik nga ulo may sakit,my intermittent head pain,head,ulo,pain,sakit
akon tuo nga ulo sakit,my right head pain,head,ulo,pain,sakit
gasakit ang akon tuo nga ulo,my right head pain,head,ulo,pain,sakit
may sakit ako sa tuo nga ulo,my right head pain,head,ulo,pain,sakit
ang akon tuo nga ulo may sakit,my right head pain,head,ulo,pain,sakit
akon tuo nga gamay nga ulo sakit,my right mild head pain,head,ulo,pain,sakit
gasakit ang akon tuo nga gamay nga ulo,my right mild head pain,head,ulo,pain,sakit
may sakit ako sa tuo nga gamay nga ulo,my right mild head pain,head,ulo,pain,sakit
ang akon tuo nga gamay nga ulo may sakit,my right mild head pain,head,ulo,pain,sakit
akon tuo nga grabe nga ulo sakit,my right severe head pain,head,ulo,pain,sakit
gasakit ang akon tuo nga grabe nga ulo,my right severe head pain,head,ulo,pain,sakit
may sakit ako sa tuo nga grabe nga ulo,my right severe head pain,head,ulo,pain,sakit
ang akon tuo nga grabe nga ulo may sakit,my right severe head pain,head,ulo,pain,sakit
