shorthand,expansion,language,status
d nko,indi ko,hiligaynon,active
d nako,indi ko,hiligaynon,active
d ko,indi ko,hiligaynon,active
dko,indi ko,hiligaynon,active
dli ko,dili ko,hiligaynon,active
dli nako,dili nako,hiligaynon,active
wla ko,wala ko,hiligaynon,active
wla,wala,hiligaynon,active
kaginahawa,kaginhawa,hiligaynon,active
ginhwa,ginhawa,hiligaynon,active
ginhwaa,ginhawa,hiligaynon,active
budlay ginhwa,budlay ginhawa,hiligaynon,active
masakit dughan,chest pain,hiligaynon,active
masakit dibdib,chest pain,multilingual,active
d nko kaginhawa,indi ko kaginhawa,hiligaynon,active
d nako kaginhawa,indi ko kaginhawa,hiligaynon,active
sakit kag d nko kaginhawa,sakit kag indi ko kaginhawa,hiligaynon,active
dli,indi,hiligaynon,active
nd,indi,hiligaynon,active
ndi,indi,hiligaynon,active
di ako,indi ako,multilingual,active
msk,masakit,hiligaynon,active
msk ulo,masakit ulo,hiligaynon,active
msk dughan,masakit dughan,hiligaynon,active
msk dibdib,masakit dibdib,multilingual,active
msk tiyan,masakit tiyan,hiligaynon,active
tyan,tiyan,hiligaynon,active
tian,tiyan,hiligaynon,active
olo,ulo,hiligaynon,active
saket,sakit,hiligaynon,active
sakitt,sakit,hiligaynon,active
cought,cough,english,active
couph,cough,english,active
headech,headache,english,active
hedache,headache,english,active
hirap hminga,hirap huminga,tagalog,active
di mkahinga,di makahinga,tagalog,active
d mkaginhawa,indi makaginhawa,hiligaynon,active
kc,kasi,tagalog,active
kasi,kasi,tagalog,active
lgnt,lagnat,tagalog,active
hlnt,hilanat,hiligaynon,active
nmatay,nahimatay,tagalog,active
nlimatay,nahimatay,tagalog,active
grbe,grabe,hiligaynon,active
grabee,grabe,hiligaynon,active
buntis aq,buntis ako,tagalog,active
may lagnat aq,may lagnat ako,tagalog,active
msk tyan,masakit tiyan,hiligaynon,active
msk olo,masakit ulo,hiligaynon,active
budlay gid ginhwa,budlay gid ginhawa,hiligaynon,active
dli ko makaginhawa,indi ko makaginhawa,hiligaynon,active
indi ko makaginhawa,indi ko makaginhawa,hiligaynon,active
sobrang sakit,grabe sakit,tagalog,active
hindi ako makakain,hindi ako makakain,tagalog,active
di ako makakain,di ako makakain,tagalog,active
gasakit olo,gasakit ulo,hiligaynon,active
may hubak,may hubak,hiligaynon,active
namamaga leeg,namamaga leeg,tagalog,active
blue lips,asul ang labi,english,active
open fracture,open fracture,english,active
still bleeding,still bleeding,english,active
dog bite,dog bite,english,active
needlestick,needlestick,english,active
swollen throat,swollen throat,english,active
cannot eat,cannot eat,english,active
