hiligaynon_term,english_term,medical_category,severity,triage_level,status,body_part,symptom
daw indi ko makabaton sang kamot,arm weakness,neurological,Severe,emergency,active,hand,arm weakness
3 ka adlaw na daw indi ko makabaton sang kamot,arm weakness,neurological,Severe,emergency,active,hand,arm weakness
5 ka adlaw na daw indi ko makabaton sang kamot,arm weakness,neurological,Severe,emergency,active,hand,arm weakness
dugay na daw indi ko makabaton sang kamot,arm weakness,neurological,Severe,emergency,active,hand,arm weakness
bag-o lang daw indi ko makabaton sang kamot,arm weakness,neurological,Severe,emergency,active,hand,arm weakness
indi ko makabaton sang kamot ko,hand arm weakness,neurological,Severe,emergency,active,hand,arm weakness
3 ka adlaw na indi ko makabaton sang kamot ko,hand arm weakness,neurological,Severe,emergency,active,hand,arm weakness
5 ka adlaw na indi ko makabaton sang kamot ko,hand arm weakness,neurological,Severe,emergency,active,hand,arm weakness
dugay na indi ko makabaton sang kamot ko,hand arm weakness,neurological,Severe,emergency,active,hand,arm weakness
bag-o lang indi ko makabaton sang kamot ko,hand arm weakness,neurological,Severe,emergency,active,hand,arm weakness
lemah ang kamot ko,hand arm weakness,neurological,Severe,emergency,active,hand,arm weakness
3 ka adlaw na lemah ang kamot ko,hand arm weakness,neurological,Severe,emergency,active,hand,arm weakness
5 ka adlaw na lemah ang kamot ko,hand arm weakness,neurological,Severe,emergency,active,hand,arm weakness
dugay na lemah ang kamot ko,hand arm weakness,neurological,Severe,emergency,active,hand,arm weakness
bag-o lang lemah ang kamot ko,hand arm weakness,neurological,Severe,emergency,active,hand,arm weakness
gahubag lawas kag gakatol,body swelling,allergy,Severe,emergency,active,body,swelling
3 ka adlaw na gahubag lawas kag gakatol,body swelling,allergy,Severe,emergency,active,body,swelling
5 ka adlaw na gahubag lawas kag gakatol,body swelling,allergy,Severe,emergency,active,body,swelling
dugay na gahubag lawas kag gakatol,body swelling,allergy,Severe,emergency,active,body,swelling
bag-o lang gahubag lawas kag gakatol,body swelling,allergy,Severe,emergency,active,body,swelling
gahubag lawas ko kag gakatol,body swelling,allergy,Severe,emergency,active,body,swelling
3 ka adlaw na gahubag lawas ko kag gakatol,body swelling,allergy,Severe,emergency,active,body,swelling
5 ka adlaw na gahubag lawas ko kag gakatol,body swelling,allergy,Severe,emergency,active,body,swelling
dugay na gahubag lawas ko kag gakatol,body swelling,allergy,Severe,emergency,active,body,swelling
bag-o lang gahubag lawas ko kag gakatol,body swelling,allergy,Severe,emergency,active,body,swelling
gahubag kag gakatol lawas ko,body swelling,allergy,Severe,emergency,active,body,swelling
3 ka adlaw na gahubag kag gakatol lawas ko,body swelling,allergy,Severe,emergency,active,body,swelling
5 ka adlaw na gahubag kag gakatol lawas ko,body swelling,allergy,Severe,emergency,active,body,swelling
dugay na gahubag kag gakatol lawas ko,body swelling,allergy,Severe,emergency,active,body,swelling
bag-o lang gahubag kag gakatol lawas ko,body swelling,allergy,Severe,emergency,active,body,swelling
ginahilanat gid ko,fever,general,Moderate,urgent,active,,fever
3 ka adlaw na ginahilanat gid ko,fever,general,Moderate,urgent,active,,fever
5 ka adlaw na ginahilanat gid ko,fever,general,Moderate,urgent,active,,fever
dugay na ginahilanat gid ko,fever,general,Moderate,urgent,active,,fever
bag-o lang ginahilanat gid ko,fever,general,Moderate,urgent,active,,fever
hilanat gid talukap mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid talukap mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid talukap mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid talukap mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid ko talukap mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid akon talukap mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid ko akon talukap mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid akon ko talukap mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid talukap mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe talukap mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe gid talukap mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid talukap mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe talukap mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe gid talukap mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid talukap mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe talukap mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe gid talukap mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid talukap mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe talukap mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe gid talukap mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid talukap mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid talukap mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe talukap mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid grabe gid talukap mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
may hilanat gid sa talukap mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
may hilanat gid sa talukap mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
may hilanat gid sa talukap mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
may hilanat gid sa talukap mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
may hilanat gid talukap mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
may hilanat gid talukap mata akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
may hilanat gid talukap mata ko akon,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
may hilanat gid talukap mata akon ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
talukap mata ko hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
talukap mata akon hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
talukap mata ko akon hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
talukap mata akon ko hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
ko talukap mata hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
akon talukap mata hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
ko akon talukap mata hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
akon ko talukap mata hilanat gid,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid ko talukap mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid akon talukap mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid ko akon talukap mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
hilanat gid gid akon ko talukap mata,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
gid hilanat gid talukap mata ko,eyelid high fever,general,Moderate,urgent,active,eyelid,high fever
