hiligaynon_term,english_term,medical_category,severity,triage_level,status
3 ka adlaw may nana akon mata,eye infection,Infection,High,urgent,active
3 ka adlaw may pilas ko sa kamot,hand wound,Wound,Medium,urgent,active
3 ka adlaw na gahubag kamot ko kag nagdugo kamot ko,hand swelling with bleeding,Trauma,High,emergency,active
3 ka adlaw na gahubag lawas ko kag gakatol lawas ko,body swelling with itching,Allergy,High,emergency,active
3 ka adlaw na gahubag tungod ko kag ginahilanat ko,throat swelling with fever,ENT,High,emergency,active
3 ka adlaw na nagdugo pilas ko kag ginahilanat ko,bleeding wound with fever,Infection,High,emergency,active
3 ka adlaw na nagdugo ulo ko kag nahilo ko,head bleeding with dizziness,Trauma,Critical,emergency,active
3 ka adlaw na sakit dughan ko kag dula ginhawa ko,chest pain with shortness of breath,Cardiovascular,Critical,emergency,active
3 ka adlaw na sakit dughan ko kag gahika ko,chest pain with cough,Cardiovascular,Critical,emergency,active
5 ka adlaw may nana akon mata,eye infection,Infection,High,urgent,active
5 ka adlaw may pilas ko sa kamot,hand wound,Wound,Medium,urgent,active
alergiya,allergy,Allergy,Medium,urgent,active
allergy,allergy,Allergy,Medium,urgent,active
alta presyon,hypertension,Cardiovascular,High,urgent,active
ano ang buhaton budlay magginhawa ko,difficulty breathing,Respiratory,Critical,emergency,active
ano ang buhaton gasakit dughan ko,chest pain,Cardiovascular,High,emergency,active
ano ang buhaton ginkagat sang ido ko,dog bite,Bite,Critical,emergency,active
ano ang buhaton may nana akon mata,eye infection,Infection,High,urgent,active
ano ang buhaton nabali kamot ko,hand fracture,Fracture,High,emergency,active
ano ang buhaton nagdugo ulo ko,head bleeding,Bleeding,Critical,emergency,active
ano ang buhaton nga budlay magginhawa ko,difficulty breathing,Respiratory,Critical,emergency,active
ano ang buhaton nga gasakit dughan ko,chest pain,Cardiovascular,High,emergency,active
ano ang buhaton nga ginkagat sang ido ko,dog bite,Bite,Critical,emergency,active
ano ang buhaton nga may nana akon mata,eye infection,Infection,High,urgent,active
ano ang buhaton nga nabali kamot ko,hand fracture,Fracture,High,emergency,active
ano ang buhaton nga nagdugo ulo ko,head bleeding,Bleeding,Critical,emergency,active
arthritis,arthritis,Musculoskeletal,Medium,urgent,active
artraytis,arthritis,Musculoskeletal,Medium,urgent,active
asido,hyperacidity,Digestive,Mild,non_urgent,active
asthma,asthma,Respiratory,High,urgent,active
asukal,diabetes mellitus,Endocrine,Medium,urgent,active
atake sa utok,stroke,Neurological,Critical,emergency,active
baba bp,hypotension,Cardiovascular,Medium,urgent,active
bag-o lang gin kagat sang ido ko kag nagdugo gid,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang gin kagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang gin kagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang gin kagat sang ido ko kag nagdugo man,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang gin kagat sang ido ko kag nagdugo na gid,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang ginkagat sang ido ko kag nag dugo gid,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang ginkagat sang ido ko kag nag dugo gid ko,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang ginkagat sang ido ko kag nag dugo ko gid,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang ginkagat sang ido ko kag nag dugo man,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang ginkagat sang ido ko kag nag dugo na gid,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang ginkagat sang ido ko kag nagdugo gid,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang ginkagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang ginkagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang ginkagat sang ido ko kag nagdugo man,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang ginkagat sang ido ko kag nagdugo na gid,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang ginkagat sang ido ku kag nagdugo gid,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang ginkagat sang ido ku kag nagdugo gid ko,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang ginkagat sang ido ku kag nagdugo ko gid,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang ginkagat sang ido ku kag nagdugo man,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang ginkagat sang ido ku kag nagdugo na gid,dog bite with bleeding,Bite,Critical,emergency,active
bag-o lang ginsumbag ko kag nabun-og ulo gid,physical assault with head bruise,Trauma,High,emergency,active
bag-o lang ginsumbag ko kag nabun-og ulo gid ko,physical assault with head bruise,Trauma,High,emergency,active
bag-o lang ginsumbag ko kag nabun-og ulo ko gid,physical assault with head bruise,Trauma,High,emergency,active
bag-o lang ginsumbag ko kag nabun-og ulo man,physical assault with head bruise,Trauma,High,emergency,active
bag-o lang ginsumbag ko kag nabun-og ulo na gid,physical assault with head bruise,Trauma,High,emergency,active
bag-o lang ginsumbag ku kag nabun-og ulo gid,physical assault with head bruise,Trauma,High,emergency,active
bag-o lang ginsumbag ku kag nabun-og ulo gid ko,physical assault with head bruise,Trauma,High,emergency,active
bag-o lang ginsumbag ku kag nabun-og ulo ko gid,physical assault with head bruise,Trauma,High,emergency,active
bag-o lang ginsumbag ku kag nabun-og ulo man,physical assault with head bruise,Trauma,High,emergency,active
bag-o lang ginsumbag ku kag nabun-og ulo na gid,physical assault with head bruise,Trauma,High,emergency,active
bag-o lang may nana akon mata,eye infection,Infection,High,urgent,active
bag-o lang may nana akon mata subong gid,eye infection,Infection,High,urgent,active
bag-o lang may nana akon mata subong gid ko,eye infection,Infection,High,urgent,active
bag-o lang may nana akon mata subong ko gid,eye infection,Infection,High,urgent,active
bag-o lang may nana akon mata subong man,eye infection,Infection,High,urgent,active
bag-o lang may nana akon mata subong na gid,eye infection,Infection,High,urgent,active
bag-o lang may pilas ko sa kamot,hand wound,Wound,Medium,urgent,active
bag-o lang may pilas ko sa kamot kag nag dugo gid,bleeding hand wound,Wound,High,emergency,active
bag-o lang may pilas ko sa kamot kag nag dugo gid ko,bleeding hand wound,Wound,High,emergency,active
bag-o lang may pilas ko sa kamot kag nag dugo ko gid,bleeding hand wound,Wound,High,emergency,active
bag-o lang may pilas ko sa kamot kag nag dugo man,bleeding hand wound,Wound,High,emergency,active
