hiligaynon_term,english_term,medical_category,severity,triage_level,status
gahubag lawas kag gakatol talukap mata ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol talukap mata akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol bukongbukong ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol bukongbukong akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol kilid mata ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol kilid mata akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol dalunggan ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol dalunggan akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol ngabil ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol ngabil akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol dughan ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol dughan akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol pisngi ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol pisngi akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol tungod ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol tungod akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol singit ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol singit akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol ilong ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol ilong akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol abaga ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol abaga akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol tiyan ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol tiyan akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol likod ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol likod akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol kamot ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol kamot akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol tudlo ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol tudlo akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol tuhod ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol tuhod akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol itlog ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol itlog akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol bilat ko,vaginal itching,dermatological,Mild,non_urgent,active
gahubag lawas kag gakatol bilat akon,vaginal itching,dermatological,Mild,non_urgent,active
gahubag lawas kag gakatol bilad ko,vaginal itching,dermatological,Mild,non_urgent,active
gahubag lawas kag gakatol bilad akon,vaginal itching,dermatological,Mild,non_urgent,active
gahubag lawas kag gakatol ko,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol akon,body swelling,allergy,Severe,emergency,active
gahubag lawas kag gakatol bayag ko,body swelling,allergy,Severe,emergency,active
