hiligaynon_term,alternative_spellings,english_translation,medical_term,category,severity_level,confidence_keywords
chest tightness heart,ginatight dughan;chest-tightness-heart,angina,angina,Cardiovascular,Critical,chest;heart;angina
ginatight dughan,chest tightness heart;ginatight-dughan,angina,angina,Cardiovascular,Critical,chest;heart;angina
ginatibok sing irregular,irregular heartbeat;ginatibok-sing-irregular,arrhythmia,arrhythmia,Cardiovascular,High,heart;irregular;arrhythmia
irregular heartbeat,ginatibok sing irregular;irregular-heartbeat,arrhythmia,arrhythmia,Cardiovascular,High,heart;irregular;arrhythmia
heart breathless,nagadula ginhawa tungod heart;heart-breathless,cardiac dyspnea,heart failure,Cardiovascular,Critical,heart;breath;failure
nagadula ginhawa tungod heart,heart breathless;nagadula-ginhawa-tungod-heart,cardiac dyspnea,heart failure,Cardiovascular,Critical,heart;breath;failure
chest pain,sakit dughan;hapdi dughan;masakit dughan;masakit dibdib;sakit dibdib;ginasakit dughan;chest-pain,chest pain,chest pain,Cardiovascular,Critical,chest;heart;pain;emergency
ginasakit dughan,sakit dughan;hapdi dughan;masakit dughan;masakit dibdib;sakit dibdib;chest pain;ginasakit-dughan,chest pain,chest pain,Cardiovascular,Critical,chest;heart;pain;emergency
hapdi dughan,sakit dughan;masakit dughan;masakit dibdib;sakit dibdib;ginasakit dughan;chest pain;ginhapdi dughan;may hapdi dughan;hapdi-dughan;naghapdi dughan,chest pain,chest pain,Cardiovascular,Critical,chest;heart;pain;emergency
masakit dibdib,sakit dughan;hapdi dughan;masakit dughan;sakit dibdib;ginasakit dughan;chest pain;masakit-dibdib;ginmasakit dibdib;nagmasakit dibdib;may masakit dibdib,chest pain,chest pain,Cardiovascular,Critical,chest;heart;pain;emergency
masakit dughan,sakit dughan;hapdi dughan;masakit dibdib;sakit dibdib;ginasakit dughan;chest pain;ginmasakit dughan;nagmasakit dughan;may masakit dughan;masakit-dughan,chest pain,chest pain,Cardiovascular,Critical,chest;heart;pain;emergency
sakit dibdib,sakit dughan;hapdi dughan;masakit dughan;masakit dibdib;ginasakit dughan;chest pain;may sakit dibdib;ginsakit dibdib;nagsakit dibdib;sakit-dibdib,chest pain,chest pain,Cardiovascular,Critical,chest;heart;pain;emergency
sakit dughan,hapdi dughan;masakit dughan;masakit dibdib;sakit dibdib;ginasakit dughan;chest pain;may sakit dughan;nagsakit dughan;sakit-dughan;ginsakit dughan,chest pain,chest pain,Cardiovascular,Critical,chest;heart;pain;emergency
ginapamulang tiil,swollen feet;hubag tiil;ginapamulang-tiil,edema,edema,Cardiovascular,Medium,swelling;feet;heart;kidney
hubag tiil,ginapamulang tiil;swollen feet;hubag-tiil;naghubag tiil;ginhubag tiil;may hubag tiil,edema,edema,Cardiovascular,Medium,swelling;feet;heart;kidney
swollen feet,ginapamulang tiil;hubag tiil;swollen-feet,edema,edema,Cardiovascular,Medium,swelling;feet;heart;kidney
ginadugo ilong heart,nosebleed hypertension;ginadugo-ilong-heart,epistaxis,epistaxis,Cardiovascular,Low,nose;bleed;blood pressure
nosebleed hypertension,ginadugo ilong heart;nosebleed-hypertension,epistaxis,epistaxis,Cardiovascular,Low,nose;bleed;blood pressure
breathless walking,ginadula ginhawa mag hilod;breathless-walking,exertional dyspnea,exertional dyspnea,Cardiovascular,High,breath;heart;exertion
ginadula ginhawa mag hilod,breathless walking;ginadula-ginhawa-mag-hilod,exertional dyspnea,exertional dyspnea,Cardiovascular,High,breath;heart;exertion
