symptom_key,local_term,english_term,source
abdominal_pain,sakit sang tiyan,abdominal pain,expand_hiligaynon_nlp_coverage
abdominal_pain,ginasakit ang tiyan,abdominal pain,expand_hiligaynon_nlp_coverage
abdominal_pain,sakit tiyan,abdominal pain,expand_hiligaynon_nlp_coverage
abdominal_pain,masakit ang tiyan ko,abdominal pain,expand_hiligaynon_nlp_coverage
abdominal_pain,ginabaldom ang tiyan,abdominal pain,expand_hiligaynon_nlp_coverage
abdominal_pain,sakit tiyan gid,abdominal pain,expand_hiligaynon_nlp_coverage
abdominal_pain,may sakit sa busong,abdominal pain,expand_hiligaynon_nlp_coverage
abdominal_pain,nagabalati sang sakit tiyan,abdominal pain,expand_hiligaynon_nlp_coverage
abnormal_menstruation,indi normal ang pamulanon,abnormal menstruation,expand_hiligaynon_nlp_coverage
abnormal_menstruation,indi regular ang binulan,abnormal menstruation,expand_hiligaynon_nlp_coverage
abnormal_menstruation,may problema sa regla,abnormal menstruation,expand_hiligaynon_nlp_coverage
abnormal_menstruation,indi regular ang pamulanon,abnormal menstruation,expand_hiligaynon_nlp_coverage
abnormal_menstruation,nagabag-o ang regla,abnormal menstruation,expand_hiligaynon_nlp_coverage
abnormal_menstruation,may problema sa binulan,abnormal menstruation,expand_hiligaynon_nlp_coverage
abnormal_menstruation,late ang pamulanon,abnormal menstruation,expand_hiligaynon_nlp_coverage
abnormal_menstruation,sobra kadugo ang regla,abnormal menstruation,expand_hiligaynon_nlp_coverage
acidity,ginakabog ang tiyan,acidity,expand_hiligaynon_nlp_coverage
acidity,may asido sa tiyan,acidity,expand_hiligaynon_nlp_coverage
acidity,nagakabog ang dughan,acidity,expand_hiligaynon_nlp_coverage
acidity,may asido ako,acidity,expand_hiligaynon_nlp_coverage
acidity,nagakabog ang tiyan ko,acidity,expand_hiligaynon_nlp_coverage
acidity,maaslom ang tiyan,acidity,expand_hiligaynon_nlp_coverage
acidity,gasido ang dughan,acidity,expand_hiligaynon_nlp_coverage
acute_liver_failure,grabe nga problema sa atay,acute liver failure,expand_hiligaynon_nlp_coverage
acute_liver_failure,nag-untat na ang atay sa pag-obra,acute liver failure,expand_hiligaynon_nlp_coverage
acute_liver_failure,grabe na ang atay,acute liver failure,expand_hiligaynon_nlp_coverage
acute_liver_failure,indi na maayo ang atay,acute liver failure,expand_hiligaynon_nlp_coverage
acute_liver_failure,naguba ang atay,acute liver failure,expand_hiligaynon_nlp_coverage
altered_sensorium,daw indi maathag ang panghuna-huna,altered sensorium,expand_hiligaynon_nlp_coverage
altered_sensorium,daw wala sa sarili nga panghuna-huna,altered sensorium,expand_hiligaynon_nlp_coverage
altered_sensorium,daw nalipong ang panumduman,altered sensorium,expand_hiligaynon_nlp_coverage
altered_sensorium,indi klaro ang huna-huna,altered sensorium,expand_hiligaynon_nlp_coverage
altered_sensorium,daw wala sa husto ang panumduman,altered sensorium,expand_hiligaynon_nlp_coverage
altered_sensorium,confused ang pamatyagan,altered sensorium,expand_hiligaynon_nlp_coverage
anxiety,ginakulbaan ako,anxiety,expand_hiligaynon_nlp_coverage
anxiety,permi nagakulba ang buot,anxiety,expand_hiligaynon_nlp_coverage
anxiety,ginabalak-an gid,anxiety,expand_hiligaynon_nlp_coverage
anxiety,ginakulbaan gid ako,anxiety,expand_hiligaynon_nlp_coverage
anxiety,permi balisa,anxiety,expand_hiligaynon_nlp_coverage
anxiety,may anxiety ako,anxiety,expand_hiligaynon_nlp_coverage
