id,hiligaynon_complaint,normalized_symptom,english_translation,medical_term,body_part,pain_category,severity_level,alternative_spellings
1,basin ako ginasakit tian pirmi gid ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
2,basin ako ginasakit tiyan pirmi gid ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
3,basin ako ginasakit tyan pirmi gid ko,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
4,basin feel ko nga kirot tian ko ako,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
5,basin feel ko nga kirot tiyan ko ako,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
6,basin feel ko nga kirot tyan ko ako,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
7,basin kirot tian ko sobra,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
8,basin kirot tiyan ko sobra,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
9,basin kirot tyan ko sobra,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
10,basin masakit grabe akon tian,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
11,basin masakit grabe akon tiyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
12,basin masakit grabe akon tyan,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
13,basin nagasakit tian ko ako,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
14,basin nagasakit tiyan ko ako,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
15,basin nagasakit tyan ko ako,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
16,daw hapdi tian ko ako,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
17,daw hapdi tiyan ko ako,abdominal pain,abdominal pain,abdominal pain,abdomen,abdominal pain,medium,ginasakit tiyan;ga sakit tiyan;masakit tiyan;sakit sikmura;sakit pus-on;hapdi tiyan;kirot tiyan;sakit tiyan;sakit tyan
