id,patient_complaint_hiligaynon,normalized_symptom,english_translation,medical_term,body_system,urgency_level,alternative_spellings,possible_conditions,confidence_keywords
1,amuni chest pain gid ko subong subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
2,amuni daw ginapigos akon dughan gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
3,amuni daw ginapigos akon dughan gid ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
4,amuni daw ginapigos akon dughan ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
5,amuni daw ginapigos akon dughan na gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
6,amuni daw ginapunaw ko tungod dughan gid,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
7,amuni daw ginapunaw ko tungod dughan man,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
8,amuni daw may pressure sa dughan ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
9,amuni daw may pressure sa dughan ko ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
10,amuni daw may pressure sa dughan ko gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
11,amuni gakurot akon dughan daw malala ako,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
12,amuni gakurot akon dughan daw malala ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
13,amuni gakurot akon dughan daw malala subong,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
14,amuni gakurot akon dughan gid gid ko,sakit dughan,chest pain,chest pain,cardiovascular,Critical,masakit dughan;sakit sang dughan;hapdi dughan;chest pain;masakit dibdib,angina;myocardial infarction;GERD;anxiety;costochondritis,chest;heart;dughan;pain
