hiligaynon_term,english_term,medical_category,severity,triage_level,status
basin gadugo bilat ko,vaginal bleeding,gynecologic_symptom,High,urgent,active
basin gahubag itlog ko,testicular swelling,male_reproductive_symptom,Moderate,urgent,active
basin kakatol bilat ko,vaginal itching,female_reproductive_symptom,Low,non_urgent,active
basin masakit ari ko,penile pain,male_reproductive_symptom,Moderate,urgent,active
basin may nana sa bilat ko,vaginal infection,infection,High,urgent,active
budlay mag-ihi ko,difficulty urinating,urinary_symptom,High,urgent,active
damsi mag-ihi ko,frequent urination,urinary_symptom,Low,non_urgent,active
daw gadugo bilat ko,vaginal bleeding,gynecologic_symptom,High,urgent,active
daw gahubag itlog ko,testicular swelling,male_reproductive_symptom,Moderate,urgent,active
daw kakatol bilat ko,vaginal itching,female_reproductive_symptom,Low,non_urgent,active
daw masakit ari ko,penile pain,male_reproductive_symptom,Moderate,urgent,active
daw may bukol sa akon ari,penile lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa akon ari ko,penile lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa akon ary,penile lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa akon ary ko,penile lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa akon bilad,vaginal lump,female_reproductive_symptom,Severe,urgent,active
daw may bukol sa akon bilad ko,vaginal lump,female_reproductive_symptom,Severe,urgent,active
daw may bukol sa akon bilat,vaginal lump,female_reproductive_symptom,Severe,urgent,active
daw may bukol sa akon bilat ko,vaginal lump,female_reproductive_symptom,Severe,urgent,active
daw may bukol sa akon itlog,testicular lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa akon itlog ko,testicular lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa akon itlug,testicular lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa akon itlug ko,testicular lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa akon singit,groin lump,musculoskeletal,Severe,urgent,active
daw may bukol sa ari akon,penile lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa ari ko,penile lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa ari ko akon,penile lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa ari ko ko,penile lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa ary akon,penile lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa ary ko,penile lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa ary ko akon,penile lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa ary ko ko,penile lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa bilad akon,vaginal lump,female_reproductive_symptom,Severe,urgent,active
daw may bukol sa bilad ko,vaginal lump,female_reproductive_symptom,Severe,urgent,active
daw may bukol sa bilad ko akon,vaginal lump,female_reproductive_symptom,Severe,urgent,active
daw may bukol sa bilad ko ko,vaginal lump,female_reproductive_symptom,Severe,urgent,active
daw may bukol sa bilat akon,vaginal lump,female_reproductive_symptom,Severe,urgent,active
daw may bukol sa bilat ko,vaginal lump,female_reproductive_symptom,Severe,urgent,active
daw may bukol sa bilat ko akon,vaginal lump,female_reproductive_symptom,Severe,urgent,active
daw may bukol sa bilat ko ko,vaginal lump,female_reproductive_symptom,Severe,urgent,active
daw may bukol sa itlog akon,testicular lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa itlog ko,testicular lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa itlog ko akon,testicular lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa itlog ko ko,testicular lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa itlug akon,testicular lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa itlug ko,testicular lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa itlug ko akon,testicular lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa itlug ko ko,testicular lump,male_reproductive_symptom,Severe,urgent,active
daw may bukol sa singit akon,groin lump,musculoskeletal,Severe,urgent,active
daw may bukol sa singit ko,groin lump,musculoskeletal,Severe,urgent,active
daw may nana sa bilat ko,vaginal infection,infection,High,urgent,active
doc gadugo bilat ko,vaginal bleeding,gynecologic_symptom,High,urgent,active
doc gahubag itlog ko,testicular swelling,male_reproductive_symptom,Moderate,urgent,active
doc kakatol bilat ko,vaginal itching,female_reproductive_symptom,Low,non_urgent,active
doc masakit ari ko,penile pain,male_reproductive_symptom,Moderate,urgent,active
doc may nana sa bilat ko,vaginal infection,infection,High,urgent,active
dugo ari,penile bleeding,male_reproductive_symptom,High,urgent,active
dugo bilat,vaginal bleeding,gynecologic_symptom,High,urgent,active
dugo gid indi mapunggan sa ari ko,severe penis bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid indi mapunggan sa ari ko ko,severe penis bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid indi mapunggan sa ary ko,severe penis bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid indi mapunggan sa ary ko ko,severe penis bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid indi mapunggan sa bilad ko,severe vagina bleeding,gynecologic_symptom,Critical,emergency,active
dugo gid indi mapunggan sa bilad ko ko,severe vagina bleeding,gynecologic_symptom,Critical,emergency,active
dugo gid indi mapunggan sa bilat ko,severe vagina bleeding,gynecologic_symptom,Critical,emergency,active
dugo gid indi mapunggan sa bilat ko ko,severe vagina bleeding,gynecologic_symptom,Critical,emergency,active
dugo gid indi mapunggan sa itlog ko,severe testicle bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid indi mapunggan sa itlog ko ko,severe testicle bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid indi mapunggan sa itlug ko,severe testicle bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid indi mapunggan sa itlug ko ko,severe testicle bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid sa ari ko,severe penis bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid sa ari ko ko,severe penis bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid sa ary ko,severe penis bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid sa ary ko ko,severe penis bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid sa bilad ko,severe vagina bleeding,gynecologic_symptom,Critical,emergency,active
dugo gid sa bilad ko ko,severe vagina bleeding,gynecologic_symptom,Critical,emergency,active
dugo gid sa bilat ko,severe vagina bleeding,gynecologic_symptom,Critical,emergency,active
dugo gid sa bilat ko ko,severe vagina bleeding,gynecologic_symptom,Critical,emergency,active
dugo gid sa itlog ko,severe testicle bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid sa itlog ko ko,severe testicle bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid sa itlug ko,severe testicle bleeding,male_reproductive_symptom,Critical,emergency,active
dugo gid sa itlug ko ko,severe testicle bleeding,male_reproductive_symptom,Critical,emergency,active
duguon ihi ko,bloody urine,urinary_symptom,High,urgent,active
gadugo acun itlog,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo acun itlug,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo akon ari,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo akon ari ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo akon ary,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo akon ary ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo akon bilad,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo akon bilad ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo akon bilat,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo akon bilat ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo akon itlog,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo akon itlog ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo akon itlug,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo akon itlug ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ari ako,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ari akon,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ari akon gid,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ari akon subong,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ari gid ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ari ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ari ko ako,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ari ko akon,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ari ko akon gid,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ari ko akon subong,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ari ko gid,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ari ko gid ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ari ko ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ari ko ko gid,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ary ako,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ary akon,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ary akon gid,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ary akon subong,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ary gid ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ary ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ary ko ako,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ary ko akon,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ary ko akon gid,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ary ko akon subong,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ary ko gid,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ary ko gid ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ary ko ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo ary ko ko gid,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo bilad ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilad ko ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo bilat ko ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid acun itlog,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid akon ari,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid akon ari ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid akon ary,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid akon ary ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid akon bilad,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid akon bilad ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid akon bilat,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid akon bilat ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid akon itlog,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid akon itlog ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid akon itlug,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid akon itlug ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ari ako,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ari akon,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ari akon gid,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ari akon subong,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ari gid ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ari ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ari ko ako,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ari ko akon,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ari ko akon gid,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ari ko akon subong,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ari ko gid,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ari ko gid ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ari ko ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ari ko ko gid,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ary ako,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ary akon,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ary akon gid,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ary akon subong,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ary gid ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ary ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ary ko ako,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ary ko akon,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ary ko akon gid,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ary ko akon subong,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ary ko gid,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ary ko gid ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ary ko ko,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid ary ko ko gid,penile bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid bilad ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilad ko ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko ako,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko akon,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko akon gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko akon subong,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko gid ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko ko,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid bilat ko ko gid,vaginal bleeding,gynecologic_symptom,Severe,urgent,active
gadugo gid itlog acun,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog acun gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog acun subong,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog ako,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog akon,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog akon gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog akon subong,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog gid ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog gid ku,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog ko,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog ko ako,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog ko akon,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog ko akon gid,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
gadugo gid itlog ko akon subong,testicular bleeding,male_reproductive_symptom,Severe,urgent,active
