condition_id,icd10_code,condition_name,icd10_category,chapter_code,chapter_title,long_description,is_billable,search_name,source
70001,W27.3XXS,"Contact with needle (sewing), sequela",external_causes,XX,External causes of morbidity,"Contact with needle (sewing), sequela",1,"contact with needle (sewing), sequela",CMS_ICD-10-CM_tabular_order
70002,W27.4XXA,"Contact with kitchen utensil, initial encounter",external_causes,XX,External causes of morbidity,"Contact with kitchen utensil, initial encounter",1,"contact with kitchen utensil, initial encounter",CMS_ICD-10-CM_tabular_order
70003,W27.4XXD,"Contact with kitchen utensil, subsequent encounter",external_causes,XX,External causes of morbidity,"Contact with kitchen utensil, subsequent encounter",1,"contact with kitchen utensil, subsequent encounter",CMS_ICD-10-CM_tabular_order
70004,W27.4XXS,"Contact with kitchen utensil, sequela",external_causes,XX,External causes of morbidity,"Contact with kitchen utensil, sequela",1,"contact with kitchen utensil, sequela",CMS_ICD-10-CM_tabular_order
70005,W27.5XXA,"Contact with paper-cutter, initial encounter",external_causes,XX,External causes of morbidity,"Contact with paper-cutter, initial encounter",1,"contact with paper-cutter, initial encounter",CMS_ICD-10-CM_tabular_order
70006,W27.5XXD,"Contact with paper-cutter, subsequent encounter",external_causes,XX,External causes of morbidity,"Contact with paper-cutter, subsequent encounter",1,"contact with paper-cutter, subsequent encounter",CMS_ICD-10-CM_tabular_order
70007,W27.5XXS,"Contact with paper-cutter, sequela",external_causes,XX,External causes of morbidity,"Contact with paper-cutter, sequela",1,"contact with paper-cutter, sequela",CMS_ICD-10-CM_tabular_order
70008,W27.8XXA,"Contact with other nonpowered hand tool, initial encounter",external_causes,XX,External causes of morbidity,"Contact with other nonpowered hand tool, initial encounter",1,"contact with other nonpowered hand tool, initial encounter",CMS_ICD-10-CM_tabular_order
70009,W27.8XXD,"Contact with other nonpowered hand tool, subs encntr",external_causes,XX,External causes of morbidity,"Contact with other nonpowered hand tool, subsequent encounter",1,"contact with other nonpowered hand tool, subs encntr",CMS_ICD-10-CM_tabular_order
70010,W27.8XXS,"Contact with other nonpowered hand tool, sequela",external_causes,XX,External causes of morbidity,"Contact with other nonpowered hand tool, sequela",1,"contact with other nonpowered hand tool, sequela",CMS_ICD-10-CM_tabular_order
70011,W28.XXXA,"Contact with powered lawn mower, initial encounter",external_causes,XX,External causes of morbidity,"Contact with powered lawn mower, initial encounter",1,"contact with powered lawn mower, initial encounter",CMS_ICD-10-CM_tabular_order
70012,W28.XXXD,"Contact with powered lawn mower, subsequent encounter",external_causes,XX,External causes of morbidity,"Contact with powered lawn mower, subsequent encounter",1,"contact with powered lawn mower, subsequent encounter",CMS_ICD-10-CM_tabular_order
