abbreviation,expansion,status
bp,blood pressure,active
htn,hypertension,active
dm,diabetes,active
sob,shortness of breath,active
cp,chest pain,active
ha,headache,active
n/v,nausea and vomiting,active
loc,loss of consciousness,active
uti,urinary tract infection,active
uri,upper respiratory infection,active
dob,difficulty of breathing,active
o2,oxygen,active
hr,heart rate,active
rr,respiratory rate,active
temp,temperature,active
fx,fracture,active
hx,history,active
sx,symptoms,active
dx,diagnosis,active
rx,prescription,active
n&v,"nausea and vomiting",active
doe,"dyspnea on exertion",active
ams,"altered mental status",active
abd,abdomen,active
c/o,"complains of",active
pmh,"past medical history",active
nkda,"no known drug allergies",active
rom,"range of motion",active
