concept_id,canonical_name,medical_category,severity_weight,emergency_weight,urgent_weight,danger_sign,alias,alias_type,status
runny_nose,"Runny Nose",respiratory,1,0,0,no,"runny nose",canonical,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,rhinorrhea,synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,"nasal discharge",synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,"stuffy nose",synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,"nasal congestion",synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,sip-on,synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,"may sip-on",synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,sipon,synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,ginapanuhot,synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,panuhot,synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,"barado ilong",synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,ginasip-on,synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,"ginatulo gid ilong ko",synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,"ginatulo ilong ko",synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,"may sipon",synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,"may sipon ako",synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,"sip on",synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,"sip-on ko",synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,"nagatulo ang sip-on",synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,"may sip-on ako",synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,"nagatulo sip-on",synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,"baradong ilong",synonym,active
runny_nose,"Runny Nose",respiratory,1,0,0,no,runny_nose,concept_id,active
cough,Cough,respiratory,2,0,1,no,cough,canonical,active
cough,Cough,respiratory,2,0,1,no,coughing,synonym,active
cough,Cough,respiratory,2,0,1,no,"mild cough",synonym,active
cough,Cough,respiratory,2,0,1,no,"dry cough",synonym,active
cough,Cough,respiratory,2,0,1,no,"productive cough",synonym,active
cough,Cough,respiratory,2,0,1,no,ubo,synonym,active
cough,Cough,respiratory,2,0,1,no,"may ubo",synonym,active
cough,Cough,respiratory,2,0,1,no,nagauba,synonym,active
cough,Cough,respiratory,2,0,1,no,ginauubo,synonym,active
cough,Cough,respiratory,2,0,1,no,gaubo,synonym,active
cough,Cough,respiratory,2,0,1,no,ginaubo,synonym,active
cough,Cough,respiratory,2,0,1,no,ubo-ubo,synonym,active
cough,Cough,respiratory,2,0,1,no,"3 ka adlaw gahika ko",synonym,active
cough,Cough,respiratory,2,0,1,no,"5 ka adlaw gahika ko",synonym,active
cough,Cough,respiratory,2,0,1,no,"bag-o lang gahika ko",synonym,active
cough,Cough,respiratory,2,0,1,no,cof,synonym,active
cough,Cough,respiratory,2,0,1,no,"doc gahika ko 3 days na",synonym,active
cough,Cough,respiratory,2,0,1,no,"dugay na gahika ko",synonym,active
cough,Cough,respiratory,2,0,1,no,"gahapon gahika ko",synonym,active
cough,Cough,respiratory,2,0,1,no,"gahhika ko",synonym,active
cough,Cough,respiratory,2,0,1,no,"gahika ako",synonym,active
cough,Cough,respiratory,2,0,1,no,"gahika ko",synonym,active
cough,Cough,respiratory,2,0,1,no,"gahika ko 3 days na",synonym,active
cough,Cough,respiratory,2,0,1,no,"gahika ko 3 ka adlaw",synonym,active
cough,Cough,respiratory,2,0,1,no,"gahika ko 5 ka adlaw",synonym,active
cough,Cough,respiratory,2,0,1,no,"gahika ko bag-o lang",synonym,active
cough,Cough,respiratory,2,0,1,no,"gahika ko dugay na",synonym,active
cough,Cough,respiratory,2,0,1,no,"gahika ko gahapon",synonym,active
cough,Cough,respiratory,2,0,1,no,"gahika ko gid ko",synonym,active
cough,Cough,respiratory,2,0,1,no,"gahika ko kagapon",synonym,active
cough,Cough,respiratory,2,0,1,no,"gahika ko semana na",synonym,active
cough,Cough,respiratory,2,0,1,no,"gahika ko subong lang",synonym,active
cough,Cough,respiratory,2,0,1,no,"gihika ko",synonym,active
cough,Cough,respiratory,2,0,1,no,ginacough,synonym,active
cough,Cough,respiratory,2,0,1,no,"ginauubo ko",synonym,active
cough,Cough,respiratory,2,0,1,no,"kagapon gahika ko",synonym,active
cough,Cough,respiratory,2,0,1,no,kuhul,synonym,active
cough,Cough,respiratory,2,0,1,no,"may ginauubo",synonym,active
cough,Cough,respiratory,2,0,1,no,"may ubo ako",synonym,active
cough,Cough,respiratory,2,0,1,no,"semana na gahika ko",synonym,active
cough,Cough,respiratory,2,0,1,no,"subong lang gahika ko",synonym,active
cough,Cough,respiratory,2,0,1,no,"ubo ko",synonym,active
cough,Cough,respiratory,2,0,1,no,ubuhan,synonym,active
cough,Cough,respiratory,2,0,1,no,gahika,synonym,active
cough,Cough,respiratory,2,0,1,no,"ginaubo ko",synonym,active
cough,Cough,respiratory,2,0,1,no,nagauubo,synonym,active
cough,Cough,respiratory,2,0,1,no,nagaubo,synonym,active
cough,Cough,respiratory,2,0,1,no,ginakuhul,synonym,active
cough,Cough,respiratory,2,0,1,no,"uga ubo",synonym,active
cough,Cough,respiratory,2,0,1,no,"basa ubo",synonym,active
cough,Cough,respiratory,2,0,1,no,"nagaubo ako",synonym,active
cough,Cough,respiratory,2,0,1,no,"permi nagaubo",synonym,active
cough,Cough,respiratory,2,0,1,no,"ubo ako",synonym,active
cough,Cough,respiratory,2,0,1,no,"ubo gid",synonym,active
cough,Cough,respiratory,2,0,1,no,"ga ubo",synonym,active
cough,Cough,respiratory,2,0,1,no,"ubo man",synonym,active
cough,Cough,respiratory,2,0,1,no,"may ubo gid",synonym,active
cough,Cough,respiratory,2,0,1,no,inuubo,synonym,active
cough,Cough,respiratory,2,0,1,no,umiubo,synonym,active
fever,Fever,general,2,0,2,no,fever,canonical,active
fever,Fever,general,2,0,2,no,febrile,synonym,active
fever,Fever,general,2,0,2,no,pyrexia,synonym,active
fever,Fever,general,2,0,2,no,"high temperature",synonym,active
fever,Fever,general,2,0,2,no,"high fever",synonym,active
fever,Fever,general,2,0,2,no,"low grade fever",synonym,active
fever,Fever,general,2,0,2,no,lagnat,synonym,active
fever,Fever,general,2,0,2,no,hilanat,synonym,active
fever,Fever,general,2,0,2,no,"may lagnat",synonym,active
fever,Fever,general,2,0,2,no,ginahilanat,synonym,active
fever,Fever,general,2,0,2,no,"init lawas",synonym,active
fever,Fever,general,2,0,2,no,ginakalagnat,synonym,active
fever,Fever,general,2,0,2,no,ginalagnat,synonym,active
fever,Fever,general,2,0,2,no,gahilanat,synonym,active
fever,Fever,general,2,0,2,no,"may init lawas",synonym,active
fever,Fever,general,2,0,2,no,ginainitan,synonym,active
fever,Fever,general,2,0,2,no,"3 ka adlaw ginahilanat ko",synonym,active
fever,Fever,general,2,0,2,no,"38 hilanat ko",synonym,active
fever,Fever,general,2,0,2,no,"5 ka adlaw ginahilanat ko",synonym,active
fever,Fever,general,2,0,2,no,"bag-o lang ginahilanat ko",synonym,active
fever,Fever,general,2,0,2,no,"doc hilanat ko",synonym,active
fever,Fever,general,2,0,2,no,"dugay na ginahilanat ko",synonym,active
fever,Fever,general,2,0,2,no,feber,synonym,active
fever,Fever,general,2,0,2,no,"gahapon ginahilanat ko",synonym,active
fever,Fever,general,2,0,2,no,ginafever,synonym,active
fever,Fever,general,2,0,2,no,"ginahilanat ko",synonym,active
fever,Fever,general,2,0,2,no,"ginahilanat ko 3 ka adlaw",synonym,active
fever,Fever,general,2,0,2,no,"ginahilanat ko 5 ka adlaw",synonym,active
fever,Fever,general,2,0,2,no,"ginahilanat ko bag-o lang",synonym,active
fever,Fever,general,2,0,2,no,"ginahilanat ko dugay na",synonym,active
fever,Fever,general,2,0,2,no,"ginahilanat ko gahapon",synonym,active
fever,Fever,general,2,0,2,no,"ginahilanat ko kagapon",synonym,active
fever,Fever,general,2,0,2,no,"ginahilanat ko semana na",synonym,active
fever,Fever,general,2,0,2,no,"ginahilanat ko subong lang",synonym,active
fever,Fever,general,2,0,2,no,"hilanat ko",synonym,active
fever,Fever,general,2,0,2,no,init,synonym,active
fever,Fever,general,2,0,2,no,"init lawas ko",synonym,active
fever,Fever,general,2,0,2,no,"init ng katawan",synonym,active
fever,Fever,general,2,0,2,no,"init nga lawas",synonym,active
fever,Fever,general,2,0,2,no,"kagapon ginahilanat ko",synonym,active
fever,Fever,general,2,0,2,no,"mainit lawas ko",synonym,active
fever,Fever,general,2,0,2,no,"mapula lawas ko",synonym,active
fever,Fever,general,2,0,2,no,"may ginahilanat",synonym,active
fever,Fever,general,2,0,2,no,"may hilanat",synonym,active
fever,Fever,general,2,0,2,no,"may hilanat ako",synonym,active
fever,Fever,general,2,0,2,no,"may hilanat ko",synonym,active
fever,Fever,general,2,0,2,no,"may lagnat ako",synonym,active
fever,Fever,general,2,0,2,no,"semana na ginahilanat ko",synonym,active
fever,Fever,general,2,0,2,no,"subong lang ginahilanat ko",synonym,active
fever,Fever,general,2,0,2,no,"ginahilanat gid",synonym,active
fever,Fever,general,2,0,2,no,"mainit lawas",synonym,active
fever,Fever,general,2,0,2,no,hilantan,synonym,active
fever,Fever,general,2,0,2,no,ginahilantan,synonym,active
fever,Fever,general,2,0,2,no,gilantan,synonym,active
fever,Fever,general,2,0,2,no,naghilanat,synonym,active
fever,Fever,general,2,0,2,no,"ga hilanat",synonym,active
fever,Fever,general,2,0,2,no,ga-hilanat,synonym,active
fever,Fever,general,2,0,2,no,"taas hilanat",synonym,active
fever,Fever,general,2,0,2,no,"may init",synonym,active
fever,Fever,general,2,0,2,no,"init kaayo",synonym,active
fever,Fever,general,2,0,2,no,ginapaso,synonym,active
fever,Fever,general,2,0,2,no,"paso lawas",synonym,active
fever,Fever,general,2,0,2,no,"lagnat gid",synonym,active
fever,Fever,general,2,0,2,no,"may fever ako",synonym,active
fever,Fever,general,2,0,2,no,nilalagnat,synonym,active
fever,Fever,general,2,0,2,no,"mataas ang lagnat",synonym,active
fever,Fever,general,2,0,2,no,"mainit ang katawan",synonym,active
fever,Fever,general,2,0,2,no,"mild fever",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"body pain",canonical,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,myalgia,synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"body ache",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"muscle ache",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"muscle pain",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"aching body",synonym,active
body_pain,"Body Pain",musculoskeletal,2,0,1,no,"sakit lawas",synonym,active
