dictionary_id,local_term,english_term,category
1,3 ka adlaw gahika ko,cough,condition
2,3 ka adlaw gahubag tiyan ko,abdominal swelling,condition
3,3 ka adlaw galuya lawas ko,body weakness,condition
4,3 ka adlaw gasakit ulo ko,head pain,condition
5,3 ka adlaw ginadudul-om ko,diarrhea,condition
6,3 ka adlaw ginahilanat ko,fever,condition
7,3 ka adlaw may nana akon mata,eye infection,condition
8,3 ka adlaw may pilas ko sa kamot,hand wound,condition
9,3 ka adlaw na gahubag kamot ko kag nagdugo kamot ko,hand swelling with bleeding,condition
10,3 ka adlaw na gahubag lawas ko kag gakatol lawas ko,body swelling with itching,condition
11,3 ka adlaw na gahubag mata ko kag gahika ko,eye swelling with cough,condition
12,3 ka adlaw na gahubag tungod ko kag ginahilanat ko,throat swelling with fever,condition
13,3 ka adlaw na galuya ko kag ginahilanat ko,weakness with fever,condition
14,3 ka adlaw na gasakit ulo ko kag ginahilanat ko,head pain with fever,condition
15,3 ka adlaw na ginahilanat ko kag ginabaldom ko,fever with abdominal pain,condition
16,3 ka adlaw na ginahilanat ko kag ubo ko,fever with cough,condition
17,3 ka adlaw na ginasuka ko kag ginadudul-om ko,vomiting with diarrhea,condition
18,3 ka adlaw na may nana mata ko kag gapula mata ko,eye infection with red eye,condition
19,3 ka adlaw na nagdugo pilas ko kag ginahilanat ko,bleeding wound with fever,condition
20,3 ka adlaw na nagdugo ulo ko kag nahilo ko,head bleeding with dizziness,condition
21,3 ka adlaw na nahilo ko kag ginahilanat ko,dizziness with fever,condition
22,3 ka adlaw na sakit dughan ko kag dula ginhawa ko,chest pain with shortness of breath,condition
23,3 ka adlaw na sakit dughan ko kag gahika ko,chest pain with cough,condition
24,3 ka adlaw na sakit likod ko kag galuya ko,back pain with weakness,condition
25,3 ka adlaw na sakit tiyan ko kag ginasuka ko,abdominal pain with nausea,condition
26,3 ka adlaw na sakit ulo ko kag ginahilanat ko,headache with fever,condition
27,38 hilanat ko,fever,condition
28,39 hilanat ko,high fever,condition
29,5 ka adlaw gahika ko,cough,condition
30,5 ka adlaw gahubag tiyan ko,abdominal swelling,condition
31,5 ka adlaw galuya lawas ko,body weakness,condition
32,5 ka adlaw gasakit ulo ko,head pain,condition
33,5 ka adlaw ginadudul-om ko,diarrhea,condition
34,5 ka adlaw ginahilanat ko,fever,condition
35,5 ka adlaw may nana akon mata,eye infection,condition
36,5 ka adlaw may pilas ko sa kamot,hand wound,condition
37,abaga,shoulder,condition
38,abdominal pain,abdominal pain,condition
39,abscess,abscess,condition
40,acid reflux,gastroesophageal reflux disease,condition
41,acne,acne,condition
42,adenoid,adenoid hypertrophy,condition
43,adhesive allergy,contact dermatitis,allergy
44,afib,atrial fibrillation,condition
45,aids,hiv/aids,condition
46,alergic,allergy,allergy
47,alergies,allergy,allergy
48,alergy,allergy,allergy
49,alergy sa dust,dust mite allergy,allergy
50,alergy sa mani,peanut allergy,allergy
51,alergy sa pagkaon,food allergy,allergy
52,alergy sa penicilin,penicillin allergy,allergy
53,alergy sa seafood,shellfish allergy,allergy
54,alikabok allergy,dust mite allergy,allergy
55,alipunga,fungal infection,condition
56,alipunga sa paa,tinea pedis,condition
57,allergic,allergy,allergy
58,allergic ako sa,allergy,condition
59,allergic ako sa dust,dust mite allergy,allergy
60,allergic ako sa eggs,egg allergy,allergy
61,allergic ako sa milk,milk allergy,allergy
62,allergic ako sa peanuts,peanut allergy,allergy
63,allergic ako sa penicillin,penicillin allergy,allergy
64,allergic ako sa seafood,shellfish allergy,allergy
65,allergic ako sa shrimp,shrimp allergy,allergy
66,allergic ako sa sulfa drugs,sulfa allergy,allergy
67,allergic reaction,allergic reaction,allergy
68,allergic sa alikabok,dust mite allergy,allergy
69,allergic sa alimango,crab allergy,allergy
70,allergic sa amag,mold allergy,allergy
71,allergic sa antibiotic,antibiotic allergy,allergy
72,allergic sa aso,dog dander allergy,allergy
73,allergic sa aspirin,aspirin allergy,allergy
74,allergic sa baboy,pork allergy,allergy
75,allergic sa biogesic,acetaminophen sensitivity,allergy
76,allergic sa bubuyog,bee sting allergy,allergy
77,allergic sa bulakla,pollen allergy,allergy
78,allergic sa detergent,detergent sensitivity,allergy
79,allergic sa dust,dust mite allergy,allergy
80,allergic sa gamot,drug allergy,allergy
81,allergic sa gatas,milk allergy,allergy
82,allergic sa grass,grass pollen allergy,allergy
83,allergic sa harina,wheat allergy,allergy
84,allergic sa hipon,shrimp allergy,allergy
85,allergic sa ipis,cockroach allergen,allergy
86,allergic sa isda,fish allergy,allergy
87,allergic sa itlog,egg allergy,allergy
88,allergic sa lamang-dagat,seafood allergy,allergy
89,allergic sa lamok,mosquito bite allergy,allergy
90,allergic sa latex,latex allergy,allergy
91,allergic sa lotion,contact dermatitis,allergy
92,allergic sa mani,peanut allergy,allergy
93,allergic sa manok,poultry allergy,allergy
94,allergic sa mefenamic,NSAID allergy,allergy
95,allergic sa pagkain,food allergy,allergy
96,allergic sa pagkaon,food allergy,allergy
97,allergic sa penicillin,penicillin allergy,allergy
98,allergic sa perfume,fragrance sensitivity,allergy
99,allergic sa pollen,pollen allergy,allergy
100,allergic sa prutas,fruit allergy,allergy
101,allergic sa pusa,cat dander allergy,allergy
102,allergic sa putik,contact dermatitis,allergy
103,allergic sa rubber,latex allergy,allergy
104,allergic sa sabon,soap sensitivity,allergy
105,allergic sa saging,banana allergy,allergy
106,allergic sa sigarilyo,tobacco smoke sensitivity,allergy
107,allergic sa sulfa,sulfa allergy,allergy
108,allergic sa tinapay,wheat allergy,allergy
109,allergic sa usok,smoke sensitivity,allergy
110,allergies,allergy,allergy
111,allergy,Allergy,condition
112,allergy attack,allergic reaction,allergy
113,allergy rash,allergic reaction,allergy
114,allergy sa alikabok,dust mite allergy,allergy
115,allergy sa alikabok sa balay,dust mite allergy,allergy
116,allergy sa alimango,crab allergy,allergy
117,allergy sa amag,mold allergy,allergy
118,allergy sa amoxicillin,amoxicillin allergy,allergy
119,allergy sa anesthesia,anesthesia allergy,allergy
120,allergy sa ant,fire ant sting allergy,allergy
121,allergy sa antibiotic,antibiotic allergy,allergy
122,allergy sa aspirin,aspirin allergy,allergy
123,allergy sa baboy,pork allergy,allergy
124,allergy sa bagoong,shellfish allergy,allergy
125,allergy sa baybay,seafood allergy,allergy
126,allergy sa bee,bee sting allergy,allergy
127,allergy sa beef,beef allergy,allergy
128,allergy sa biogesic,acetaminophen sensitivity,allergy
129,allergy sa bleach,chemical allergy,allergy
130,allergy sa bugas,wheat allergy,allergy
131,allergy sa bulak,pollen allergy,allergy
132,allergy sa bulong,drug allergy,allergy
133,allergy sa buyo,bee sting allergy,allergy
134,allergy sa buyo-buyo,bee sting allergy,allergy
135,allergy sa cat,cat dander allergy,allergy
136,allergy sa chemical,chemical allergy,allergy
137,allergy sa chicken,poultry allergy,allergy
138,allergy sa chocolate,food allergy,allergy
139,allergy sa cockroach,cockroach allergen,allergy
140,allergy sa coconut,coconut allergy,allergy
141,allergy sa codeine,opioid allergy,allergy
142,allergy sa contrast,contrast dye allergy,allergy
143,allergy sa corn,corn allergy,allergy
144,allergy sa dagat,seafood allergy,allergy
145,allergy sa detergent,detergent sensitivity,allergy
146,allergy sa dust,dust mite allergy,allergy
147,allergy sa dust sa balay,dust mite allergy,allergy
148,allergy sa egg,egg allergy,allergy
