phrase,english,concept,language,status
lagnat,Fever,fever,hiligaynon,active
hilanat,Fever,fever,hiligaynon,active
ginakalagnat,Fever,fever,hiligaynon,active
ginalagnat,Fever,fever,hiligaynon,active
gahilanat,Fever,fever,hiligaynon,active
ginahilanat,Fever,fever,hiligaynon,active
may init lawas,Fever,fever,hiligaynon,active
init lawas,Fever,fever,hiligaynon,active
may lagnat,Fever,fever,hiligaynon,active
ginainitan,Fever,fever,hiligaynon,active
ubo,Cough,cough,hiligaynon,active
gaubo,Cough,cough,hiligaynon,active
ginaubo,Cough,cough,hiligaynon,active
nagauba,Cough,cough,hiligaynon,active
ginauubo,Cough,cough,hiligaynon,active
may ubo,Cough,cough,hiligaynon,active
ubo-ubo,Cough,cough,hiligaynon,active
sip-on,Runny Nose,runny_nose,hiligaynon,active
sipon,Runny Nose,runny_nose,hiligaynon,active
may sip-on,Runny Nose,runny_nose,hiligaynon,active
ginapanuhot,Runny Nose,runny_nose,hiligaynon,active
panuhot,Runny Nose,runny_nose,hiligaynon,active
barado ilong,Runny Nose,runny_nose,hiligaynon,active
budlay ginhawa,Difficulty Breathing,difficulty_breathing,hiligaynon,active
budlay magginhawa,Difficulty Breathing,difficulty_breathing,hiligaynon,active
budlay gid ginhawa,Difficulty Breathing,difficulty_breathing,hiligaynon,active
budlay gid ang ginhawa,Difficulty Breathing,difficulty_breathing,hiligaynon,active
indi ko kaginhawa,Difficulty Breathing,difficulty_breathing,hiligaynon,active
indi makaginhawa,Difficulty Breathing,difficulty_breathing,hiligaynon,active
dula ginhawa,Difficulty Breathing,difficulty_breathing,hiligaynon,active
ginakapos ginhawa,Difficulty Breathing,difficulty_breathing,hiligaynon,active
ginahapo,Difficulty Breathing,difficulty_breathing,hiligaynon,active
hapo,Difficulty Breathing,difficulty_breathing,hiligaynon,active
masakit dughan,Chest Pain,chest_pain,hiligaynon,active
gasakit dughan,Chest Pain,chest_pain,hiligaynon,active
sakit dughan,Chest Pain,chest_pain,hiligaynon,active
hapdi dughan,Chest Pain,chest_pain,hiligaynon,active
masakit dibdib,Chest Pain,chest_pain,hiligaynon,active
masakit akon dughan,Chest Pain,chest_pain,hiligaynon,active
masakit tiyan,Abdominal Pain,abdominal_pain,hiligaynon,active
gasakit tiyan,Abdominal Pain,abdominal_pain,hiligaynon,active
sakit tiyan,Abdominal Pain,abdominal_pain,hiligaynon,active
masakit akon tiyan,Abdominal Pain,abdominal_pain,hiligaynon,active
gapalanakit tiyan,Abdominal Pain,abdominal_pain,hiligaynon,active
gasakit ulo,Headache,headache,hiligaynon,active
gapalanakit ulo,Headache,headache,hiligaynon,active
sakit ulo,Headache,headache,hiligaynon,active
masakit ulo,Headache,headache,hiligaynon,active
lipong ulo,Headache,headache,hiligaynon,active
