word,language,status
the,mixed,active
a,mixed,active
an,mixed,active
and,mixed,active
or,mixed,active
of,mixed,active
to,mixed,active
in,mixed,active
on,mixed,active
ko,mixed,active
ako,mixed,active
ang,mixed,active
sang,mixed,active
sa,mixed,active
mga,mixed,active
ay,mixed,active
ng,mixed,active
na,mixed,active
lang,mixed,active
gid,mixed,active
man,mixed,active
daw,mixed,active
my,mixed,active
i,mixed,active
have,mixed,active
has,mixed,active
is,mixed,active
am,mixed,active
are,mixed,active
with,mixed,active
for,mixed,active
