symptom_id,symptom_name,standardized_concept,category,language,local_term,status
1,Fever,fever,general,english,,active
2,Cough,cough,general,english,,active
3,Headache,headache,general,english,,active
4,Chest Pain,chest_pain,general,english,,active
5,Difficulty Breathing,difficulty_breathing,general,english,,active
6,Shortness of Breath,shortness_of_breath,general,english,,active
7,Vomiting,vomiting,general,english,,active
8,Diarrhea,diarrhea,general,english,,active
9,Abdominal Pain,abdominal_pain,general,english,,active
10,Nausea,nausea,general,english,,active
11,Dizziness,dizziness,general,english,,active
12,Fatigue,fatigue,general,english,,active
13,Sore Throat,sore_throat,general,english,,active
14,Runny Nose,runny_nose,general,english,,active
15,Body Pain,body_pain,general,english,,active
16,Back Pain,back_pain,general,english,,active
17,Ear Pain,ear_pain,general,english,,active
18,Eye Pain,eye_pain,general,english,,active
19,Rash,rash,general,english,,active
20,Palpitations,palpitations,general,english,,active
21,Confusion,confusion,general,english,,active
22,Seizure,seizure,general,english,,active
23,Bleeding,bleeding,general,english,,active
24,Burn,burn,general,english,,active
25,Weakness,weakness,general,english,,active
26,Swelling,swelling,general,english,,active
27,Itching,itching,general,english,,active
28,Chills,chills,general,english,,active
29,Loss of Appetite,loss_of_appetite,general,english,,active
30,Urinary Pain,urinary_pain,general,english,,active
31,Constipation,constipation,general,english,,active
32,Insomnia,insomnia,general,english,,active
33,Wheezing,wheezing,general,english,,active
34,Coughing Blood,coughing_blood,general,english,,active
35,Vomiting Blood,vomiting_blood,general,english,,active
36,Fainting,fainting,general,english,,active
37,Numbness,numbness,general,english,,active
38,Paralysis,paralysis,general,english,,active
39,Vision Loss,vision_loss,general,english,,active
40,1-Methylhistidinuria,1-methylhistidinuria,general,english,,active
41,1-minute APGAR Score of 0,1-minute_apgar_score_of_0,general,english,,active
42,1-minute APGAR Score of 1,1-minute_apgar_score_of_1,general,english,,active
43,1-minute APGAR Score of 2,1-minute_apgar_score_of_2,general,english,,active
44,1-minute APGAR Score of 3,1-minute_apgar_score_of_3,general,english,,active
45,1-minute APGAR Score of 4,1-minute_apgar_score_of_4,general,english,,active
46,1-minute APGAR Score of 5,1-minute_apgar_score_of_5,general,english,,active
47,1-minute APGAR Score of 6,1-minute_apgar_score_of_6,general,english,,active
48,10 Pairs of Ribs,10_pairs_of_ribs,general,english,,active
49,10-minute APGAR Score of 0,10-minute_apgar_score_of_0,general,english,,active
50,10-minute APGAR Score of 1,10-minute_apgar_score_of_1,general,english,,active
51,10-minute APGAR Score of 2,10-minute_apgar_score_of_2,general,english,,active
52,10-minute APGAR Score of 3,10-minute_apgar_score_of_3,general,english,,active
53,10-minute APGAR Score of 4,10-minute_apgar_score_of_4,general,english,,active
54,10-minute APGAR Score of 5,10-minute_apgar_score_of_5,general,english,,active
55,10-minute APGAR Score of 6,10-minute_apgar_score_of_6,general,english,,active
56,11 Pairs of Ribs,11_pairs_of_ribs,general,english,,active
57,11 Thoracic Vertebrae,11_thoracic_vertebrae,general,english,,active
58,2 Vessel Cord,2_vessel_cord,general,english,,active
59,2 Vessel Umbilical Cord,2_vessel_umbilical_cord,general,english,,active
60,2'-deoxyadenosine (dAdo) Elevated in Urine,2'-deoxyadenosine_(dado)_elevated_in_urine,general,english,,active
61,"2,8-dihydroxyadenine Crystalluria","2,8-dihydroxyadenine_crystalluria",general,english,,active
62,"2,8-dihydroxyadenine Urinary Crystals","2,8-dihydroxyadenine_urinary_crystals",general,english,,active
63,2--hydroxyphenylacetic Aciduria,2--hydroxyphenylacetic_aciduria,general,english,,active
64,2-aminoadipic Aciduria,2-aminoadipic_aciduria,general,english,,active
65,2-ethylhydracylic Aciduria,2-ethylhydracylic_aciduria,general,english,,active
66,2-hydroxy-3-methylvaleric Acid High in Urine,2-hydroxy-3-methylvaleric_acid_high_in_urine,general,english,,active
67,2-hydroxyadipic Acid High in Urine,2-hydroxyadipic_acid_high_in_urine,general,english,,active
68,2-hydroxyadipic Aciduria,2-hydroxyadipic_aciduria,general,english,,active
69,2-hydroxyglutarate Aciduria,2-hydroxyglutarate_aciduria,general,english,,active
70,"2-methyl-2,3-dihydroxybutyrate High in Urine","2-methyl-2,3-dihydroxybutyrate_high_in_urine",general,english,,active
71,2-methylacetoacetic Acid Present in Urine,2-methylacetoacetic_acid_present_in_urine,general,english,,active
72,2-Methylbutyryl Glycinuria,2-methylbutyryl_glycinuria,general,english,,active
73,2-methylcitric Acid High in Urine,2-methylcitric_acid_high_in_urine,general,english,,active
74,2-oxoadipic Aciduria,2-oxoadipic_aciduria,general,english,,active
75,2:1 Atrioventricular Block,2:1_atrioventricular_block,general,english,,active
76,2:1 AV Block,2:1_av_block,general,english,,active
77,2nd Toe Symphalangism,2nd_toe_symphalangism,general,english,,active
78,2nd-5th Toe Middle Phalangeal Hypoplasia,2nd-5th_toe_middle_phalangeal_hypoplasia,general,english,,active
79,3-hydroxydicarboxylic Aciduria,3-hydroxydicarboxylic_aciduria,general,english,,active
80,3-hydroxyglutaric Acid High in Urine,3-hydroxyglutaric_acid_high_in_urine,general,english,,active
81,3-hydroxyisobutyryl-CoA Hydrolase Deficiency,3-hydroxyisobutyryl-coa_hydrolase_deficiency,general,english,,active
82,3-hydroxyisovaleric Aciduria,3-hydroxyisovaleric_aciduria,general,english,,active
83,3-hydroxypropionic Acid High in Urine,3-hydroxypropionic_acid_high_in_urine,general,english,,active
84,3-ketoacyl-CoA Thiolase (THIO) Deficiency,3-ketoacyl-coa_thiolase_(thio)_deficiency,general,english,,active
85,3-methylcrotonyl CoA Carboxylase Low in Fibroblasts,3-methylcrotonyl_coa_carboxylase_low_in_fibroblasts,general,english,,active
86,3-Methylglutaconic Aciduria,3-methylglutaconic_aciduria,general,english,,active
87,3-Methylglutaconicaciduria,3-methylglutaconicaciduria,general,english,,active
88,3-Methylglutaric Aciduria,3-methylglutaric_aciduria,general,english,,active
89,3-methylglutaricaciduria,3-methylglutaricaciduria,general,english,,active
90,3-Methylhistidinuria,3-methylhistidinuria,general,english,,active
91,3rd Toe Clinodactyly,3rd_toe_clinodactyly,general,english,,active
92,4-hydroxyisovaleric Acid Present in Urine,4-hydroxyisovaleric_acid_present_in_urine,general,english,,active
93,4-hydroxyphenylacetic Aciduria,4-hydroxyphenylacetic_aciduria,general,english,,active
94,4-hydroxyphenyllactic Aciduria,4-hydroxyphenyllactic_aciduria,general,english,,active
95,4-Hydroxyphenylpyruvic Aciduria,4-hydroxyphenylpyruvic_aciduria,general,english,,active
96,4-layered Lissencephaly,4-layered_lissencephaly,general,english,,active
97,"46,xy Gonadal Dysgenesis","46,xy_gonadal_dysgenesis",general,english,,active
98,4th Finger Camptodactyly,4th_finger_camptodactyly,general,english,,active
99,5-fluorouracil Exposure,5-fluorouracil_exposure,general,english,,active
100,5-hydroxymethyluracil High in Blood,5-hydroxymethyluracil_high_in_blood,general,english,,active
101,5-hydroxymethyluracil High in CSF,5-hydroxymethyluracil_high_in_csf,general,english,,active
102,5-hydroxymethyluracil High in Urine,5-hydroxymethyluracil_high_in_urine,general,english,,active
103,5-minute APGAR Score of 0,5-minute_apgar_score_of_0,general,english,,active
104,5-minute APGAR Score of 1,5-minute_apgar_score_of_1,general,english,,active
105,5-minute APGAR Score of 2,5-minute_apgar_score_of_2,general,english,,active
106,5-minute APGAR Score of 3,5-minute_apgar_score_of_3,general,english,,active
107,5-minute APGAR Score of 4,5-minute_apgar_score_of_4,general,english,,active
108,5-minute APGAR Score of 5,5-minute_apgar_score_of_5,general,english,,active
109,5-minute APGAR Score of 6,5-minute_apgar_score_of_6,general,english,,active
110,5-oxoprolinase Deficiency,5-oxoprolinase_deficiency,general,english,,active
111,5th Finger Middle Phalangeal Hypoplasia,5th_finger_middle_phalangeal_hypoplasia,general,english,,active
112,6 Long Bones of Hand,6_long_bones_of_hand,general,english,,active
113,6 Metacarpals,6_metacarpals,general,english,,active
114,6-layered Lissencephaly,6-layered_lissencephaly,general,english,,active
115,6-mercaptopurine Exposure,6-mercaptopurine_exposure,general,english,,active
116,A Decline or Reduced Social Expression and Social Connectedness,a_decline_or_reduced_social_expression_and_social_connectedness,general,english,,active
117,A Severe Pyogenic Infection of the Epidural Space,a_severe_pyogenic_infection_of_the_epidural_space,general,english,,active
118,AA Amyloidosis,aa_amyloidosis,general,english,,active
119,Abasia,abasia,general,english,,active
120,Abdominal Adhesions,abdominal_adhesions,general,english,,active
121,Abdominal Aortic Aneurysm,abdominal_aortic_aneurysm,general,english,,active
122,Abdominal Aortic Calcification,abdominal_aortic_calcification,general,english,,active
