rule_id,name,pattern_english,pattern_hiligaynon,classification,rationale,status
N0001,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0002,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0003,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0004,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0005,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0006,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0007,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0008,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0009,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0010,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0011,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0012,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0013,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0014,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0015,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0016,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0017,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0018,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0019,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0020,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0021,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0022,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0023,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0024,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0025,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0026,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0027,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0028,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
N0029,Runny Nose,runny nose,,NON-URGENT,Routine consultation for runny nose,active
