combo_id,symptom_a,symptom_b,variant,classification,severity_points,rationale,status
SC00001,fever,cough,clinical,NON-URGENT,4,Clinical combination: fever + cough,active
SC00002,runny_nose,cough,clinical,NON-URGENT,3,Clinical combination: runny_nose + cough,active
SC00003,runny_nose,fever,clinical,NON-URGENT,3,Clinical combination: runny_nose + fever,active
SC00004,fatigue,headache,clinical,NON-URGENT,3,Clinical combination: fatigue + headache,active
SC00005,sore_throat,cough,clinical,NON-URGENT,3,Clinical combination: sore_throat + cough,active
SC00006,chest_pain,difficulty_breathing,clinical,EMERGENCY,20,Clinical combination: chest_pain + difficulty_breathing,active
SC00007,chest_pain,diabetes,clinical,EMERGENCY,18,Clinical combination: chest_pain + diabetes,active
SC00008,chest_pain,heart_disease,clinical,EMERGENCY,18,Clinical combination: chest_pain + heart_disease,active
SC00009,fever,confusion,clinical,EMERGENCY,16,Clinical combination: fever + confusion,active
SC00010,fever,stiff_neck,clinical,EMERGENCY,16,Clinical combination: fever + stiff_neck,active
SC00011,vomiting,blood,clinical,EMERGENCY,15,Clinical combination: vomiting + blood,active
SC00012,cough,blood,clinical,EMERGENCY,15,Clinical combination: cough + blood,active
SC00013,pregnancy,bleeding,clinical,EMERGENCY,18,Clinical combination: pregnancy + bleeding,active
SC00014,pregnancy,headache,clinical,EMERGENCY,14,Clinical combination: pregnancy + headache,active
SC00015,asthma,difficulty_breathing,clinical,EMERGENCY,14,Clinical combination: asthma + difficulty_breathing,active
SC00016,diabetes,confusion,clinical,EMERGENCY,14,Clinical combination: diabetes + confusion,active
SC00017,head_injury,vomiting,clinical,EMERGENCY,14,Clinical combination: head_injury + vomiting,active
SC00018,head_injury,confusion,clinical,EMERGENCY,16,Clinical combination: head_injury + confusion,active
SC00019,fever,duration_5_plus,clinical,URGENT,6,Clinical combination: fever + duration_5_plus,active
SC00020,cough,duration_5_plus,clinical,URGENT,5,Clinical combination: cough + duration_5_plus,active
SC00021,vomiting,duration_5_plus,clinical,URGENT,6,Clinical combination: vomiting + duration_5_plus,active
SC00022,diarrhea,duration_5_plus,clinical,URGENT,5,Clinical combination: diarrhea + duration_5_plus,active
SC00023,abdominal_pain,duration_5_plus,clinical,URGENT,7,Clinical combination: abdominal_pain + duration_5_plus,active
SC00024,fever,duration_3_days,clinical,NON-URGENT,4,Clinical combination: fever + duration_3_days,active
SC00025,cough,duration_3_days,clinical,NON-URGENT,3,Clinical combination: cough + duration_3_days,active
SC00026,vomiting,duration_3_days,clinical,URGENT,6,Clinical combination: vomiting + duration_3_days,active
SC00027,diarrhea,duration_3_days,clinical,URGENT,5,Clinical combination: diarrhea + duration_3_days,active
SC00028,abdominal_pain,duration_3_days,clinical,URGENT,7,Clinical combination: abdominal_pain + duration_3_days,active
SC00029,fever,high_fever,clinical,NON-URGENT,4,Clinical combination: fever + high_fever,active
SC00030,cough,high_fever,clinical,NON-URGENT,3,Clinical combination: cough + high_fever,active
SC00031,vomiting,high_fever,clinical,URGENT,6,Clinical combination: vomiting + high_fever,active
SC00032,diarrhea,high_fever,clinical,URGENT,5,Clinical combination: diarrhea + high_fever,active
SC00033,abdominal_pain,high_fever,clinical,URGENT,7,Clinical combination: abdominal_pain + high_fever,active
SC00034,fever,pain_severe,clinical,NON-URGENT,4,Clinical combination: fever + pain_severe,active
SC00035,cough,pain_severe,clinical,NON-URGENT,3,Clinical combination: cough + pain_severe,active
SC00036,vomiting,pain_severe,clinical,URGENT,6,Clinical combination: vomiting + pain_severe,active
SC00037,diarrhea,pain_severe,clinical,URGENT,5,Clinical combination: diarrhea + pain_severe,active
SC00038,abdominal_pain,pain_severe,clinical,URGENT,7,Clinical combination: abdominal_pain + pain_severe,active
SC00039,fever,child,clinical,URGENT,4,Clinical combination: fever + child,active
SC00040,cough,child,clinical,NON-URGENT,3,Clinical combination: cough + child,active
SC00041,vomiting,child,clinical,URGENT,6,Clinical combination: vomiting + child,active
SC00042,diarrhea,child,clinical,URGENT,5,Clinical combination: diarrhea + child,active
SC00043,abdominal_pain,child,clinical,URGENT,7,Clinical combination: abdominal_pain + child,active
SC00044,fever,infant,clinical,URGENT,4,Clinical combination: fever + infant,active
SC00045,cough,infant,clinical,NON-URGENT,3,Clinical combination: cough + infant,active
SC00046,vomiting,infant,clinical,URGENT,6,Clinical combination: vomiting + infant,active
SC00047,diarrhea,infant,clinical,URGENT,5,Clinical combination: diarrhea + infant,active
SC00048,abdominal_pain,infant,clinical,URGENT,7,Clinical combination: abdominal_pain + infant,active
SC00049,fever,senior,clinical,URGENT,4,Clinical combination: fever + senior,active
SC00050,cough,senior,clinical,NON-URGENT,3,Clinical combination: cough + senior,active
SC00051,vomiting,senior,clinical,URGENT,6,Clinical combination: vomiting + senior,active
SC00052,diarrhea,senior,clinical,URGENT,5,Clinical combination: diarrhea + senior,active
SC00053,abdominal_pain,senior,clinical,URGENT,7,Clinical combination: abdominal_pain + senior,active
SC00054,fever,pregnancy,clinical,URGENT,4,Clinical combination: fever + pregnancy,active
SC00055,cough,pregnancy,clinical,NON-URGENT,3,Clinical combination: cough + pregnancy,active
SC00056,vomiting,pregnancy,clinical,URGENT,6,Clinical combination: vomiting + pregnancy,active
SC00057,diarrhea,pregnancy,clinical,URGENT,5,Clinical combination: diarrhea + pregnancy,active
SC00058,abdominal_pain,pregnancy,clinical,URGENT,7,Clinical combination: abdominal_pain + pregnancy,active
SC00059,fever,diabetes,clinical,NON-URGENT,4,Clinical combination: fever + diabetes,active
SC00060,cough,diabetes,clinical,NON-URGENT,3,Clinical combination: cough + diabetes,active
