hiligaynon_term,english_term,medical_category,severity,triage_level,status
3 ka adlaw gahika ko,cough,Respiratory,Medium,routine,active
3 ka adlaw gahubag tiyan ko,abdominal swelling,Gastrointestinal,Medium,urgent,active
3 ka adlaw galuya lawas ko,body weakness,General,Medium,routine,active
3 ka adlaw gasakit ulo ko,head pain,Pain,Medium,routine,active
3 ka adlaw ginadudul-om ko,diarrhea,Gastrointestinal,Medium,routine,active
3 ka adlaw ginahilanat ko,fever,General,Medium,routine,active
3 ka adlaw may nana akon mata,eye infection,Infection,High,urgent,active
3 ka adlaw may pilas ko sa kamot,hand wound,Wound,Medium,urgent,active
3 ka adlaw na gahubag kamot ko kag nagdugo kamot ko,hand swelling with bleeding,Trauma,High,emergency,active
3 ka adlaw na gahubag lawas ko kag gakatol lawas ko,body swelling with itching,Allergy,High,emergency,active
3 ka adlaw na gahubag mata ko kag gahika ko,eye swelling with cough,Eye,Medium,urgent,active
3 ka adlaw na gahubag tungod ko kag ginahilanat ko,throat swelling with fever,ENT,High,emergency,active
3 ka adlaw na galuya ko kag ginahilanat ko,weakness with fever,General,High,urgent,active
3 ka adlaw na gasakit ulo ko kag ginahilanat ko,head pain with fever,Pain,High,urgent,active
3 ka adlaw na ginahilanat ko kag ginabaldom ko,fever with abdominal pain,General,High,urgent,active
3 ka adlaw na ginahilanat ko kag ubo ko,fever with cough,Respiratory,High,urgent,active
3 ka adlaw na ginasuka ko kag ginadudul-om ko,vomiting with diarrhea,Gastrointestinal,High,urgent,active
3 ka adlaw na may nana mata ko kag gapula mata ko,eye infection with red eye,Eye,High,urgent,active
3 ka adlaw na nagdugo pilas ko kag ginahilanat ko,bleeding wound with fever,Infection,High,emergency,active
3 ka adlaw na nagdugo ulo ko kag nahilo ko,head bleeding with dizziness,Trauma,Critical,emergency,active
3 ka adlaw na nahilo ko kag ginahilanat ko,dizziness with fever,General,Medium,urgent,active
3 ka adlaw na sakit dughan ko kag dula ginhawa ko,chest pain with shortness of breath,Cardiovascular,Critical,emergency,active
3 ka adlaw na sakit dughan ko kag gahika ko,chest pain with cough,Cardiovascular,Critical,emergency,active
3 ka adlaw na sakit likod ko kag galuya ko,back pain with weakness,Musculoskeletal,Medium,urgent,active
3 ka adlaw na sakit tiyan ko kag ginasuka ko,abdominal pain with nausea,Gastrointestinal,High,urgent,active
3 ka adlaw na sakit ulo ko kag ginahilanat ko,headache with fever,General,Medium,urgent,active
38 hilanat ko,fever,General,Medium,routine,active
39 hilanat ko,high fever,General,High,urgent,active
5 ka adlaw gahika ko,cough,Respiratory,Medium,routine,active
5 ka adlaw gahubag tiyan ko,abdominal swelling,Gastrointestinal,Medium,urgent,active
5 ka adlaw galuya lawas ko,body weakness,General,Medium,routine,active
5 ka adlaw gasakit ulo ko,head pain,Pain,Medium,routine,active
5 ka adlaw ginadudul-om ko,diarrhea,Gastrointestinal,Medium,routine,active
5 ka adlaw ginahilanat ko,fever,General,Medium,routine,active
5 ka adlaw may nana akon mata,eye infection,Infection,High,urgent,active
5 ka adlaw may pilas ko sa kamot,hand wound,Wound,Medium,urgent,active
abaga,shoulder,Body Part,Low,routine,active
alta presyon ko,hypertension,Cardiovascular,Medium,routine,active
ano ang buhaton budlay magginhawa ko,difficulty breathing,Respiratory,Critical,emergency,active
ano ang buhaton gasakit dughan ko,chest pain,Cardiovascular,High,emergency,active
ano ang buhaton ginkagat sang ido ko,dog bite,Bite,Critical,emergency,active
ano ang buhaton may nana akon mata,eye infection,Infection,High,urgent,active
ano ang buhaton nabali kamot ko,hand fracture,Fracture,High,emergency,active
ano ang buhaton nagdugo ulo ko,head bleeding,Bleeding,Critical,emergency,active
ano ang buhaton nga budlay magginhawa ko,difficulty breathing,Respiratory,Critical,emergency,active
ano ang buhaton nga gasakit dughan ko,chest pain,Cardiovascular,High,emergency,active
ano ang buhaton nga ginkagat sang ido ko,dog bite,Bite,Critical,emergency,active
ano ang buhaton nga may nana akon mata,eye infection,Infection,High,urgent,active
ano ang buhaton nga nabali kamot ko,hand fracture,Fracture,High,emergency,active
ano ang buhaton nga nagdugo ulo ko,head bleeding,Bleeding,Critical,emergency,active
atay,liver,Body Part,Low,routine,active
awang,jaw,Body Part,Low,routine,active
baba,mouth,Body Part,Low,routine,active
bag-o lang budlay gid gid ko magginhawa subong gid,difficulty breathing,Respiratory,Critical,emergency,active
bag-o lang budlay gid gid ko magginhawa subong gid ko,difficulty breathing,Respiratory,Critical,emergency,active
bag-o lang budlay gid gid ko magginhawa subong ko gid,difficulty breathing,Respiratory,Critical,emergency,active
bag-o lang budlay gid gid ko magginhawa subong man,difficulty breathing,Respiratory,Critical,emergency,active
bag-o lang budlay gid gid ko magginhawa subong na gid,difficulty breathing,Respiratory,Critical,emergency,active
bag-o lang budlay gid ko mag ginhawa subong gid,difficulty breathing,Respiratory,Critical,emergency,active
bag-o lang budlay gid ko mag ginhawa subong gid ko,difficulty breathing,Respiratory,Critical,emergency,active
