hiligaynon_term,english_term,medical_category,severity,triage_level,status
nagdugo talukap mata ko,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo gid talukap mata ko,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo grabe talukap mata ko,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo talukap mata akon,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo gid talukap mata akon,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo grabe talukap mata akon,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo talukap mata ko akon,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo gid talukap mata ko akon,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo grabe talukap mata ko akon,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo bukongbukong ko,ankle bleeding,bleeding,Moderate,urgent,active
nagdugo gid bukongbukong ko,ankle bleeding,bleeding,Moderate,urgent,active
nagdugo grabe bukongbukong ko,ankle bleeding,bleeding,Moderate,urgent,active
nagdugo bukongbukong akon,ankle bleeding,bleeding,Moderate,urgent,active
nagdugo gid bukongbukong akon,ankle bleeding,bleeding,Moderate,urgent,active
nagdugo grabe bukongbukong akon,ankle bleeding,bleeding,Moderate,urgent,active
nagdugo bukongbukong ko akon,ankle bleeding,bleeding,Moderate,urgent,active
nagdugo gid bukongbukong ko akon,ankle bleeding,bleeding,Moderate,urgent,active
nagdugo grabe bukongbukong ko akon,ankle bleeding,bleeding,Moderate,urgent,active
nagdugo kilid mata ko,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo gid kilid mata ko,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo grabe kilid mata ko,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo kilid mata akon,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo gid kilid mata akon,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo grabe kilid mata akon,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo kilid mata ko akon,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo gid kilid mata ko akon,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo grabe kilid mata ko akon,eyelid bleeding,bleeding,Moderate,urgent,active
nagdugo dalunggan ko,ear bleeding,bleeding,Moderate,urgent,active
nagdugo gid dalunggan ko,ear bleeding,bleeding,Moderate,urgent,active
nagdugo grabe dalunggan ko,ear bleeding,bleeding,Moderate,urgent,active
nagdugo dalunggan akon,ear bleeding,bleeding,Moderate,urgent,active
nagdugo gid dalunggan akon,ear bleeding,bleeding,Moderate,urgent,active
nagdugo grabe dalunggan akon,ear bleeding,bleeding,Moderate,urgent,active
nagdugo dalunggan ko akon,ear bleeding,bleeding,Moderate,urgent,active
nagdugo gid dalunggan ko akon,ear bleeding,bleeding,Moderate,urgent,active
nagdugo grabe dalunggan ko akon,ear bleeding,bleeding,Moderate,urgent,active
nagdugo ngabil ko,lip bleeding,bleeding,Moderate,urgent,active
