local_term,english_term,synonym_group,language,status
daw indi ko makabaton sang kamot,arm weakness,arm_weakness,hiligaynon,active
indi ko makabaton sang kamot ko,arm weakness,arm_weakness,hiligaynon,active
lemah ang kamot ko,arm weakness,arm_weakness,hiligaynon,active
gahubag lawas kag gakatol,allergic reaction,allergic_reaction,hiligaynon,active
gahubag lawas ko kag gakatol,allergic reaction,allergic_reaction,hiligaynon,active
gahubag kag gakatol lawas ko,allergic reaction,allergic_reaction,hiligaynon,active
ginahilanat gid ko,high fever,high_fever,hiligaynon,active
hilanat gid,high fever,high_fever,hiligaynon,active
ginahilanat ko 3 ka adlaw na,high fever,high_fever,hiligaynon,active
39 hilanat ko,high fever,high_fever,hiligaynon,active
nabunggo ko sa salakyan,vehicle collision injury,vehicle_trauma,hiligaynon,active
nabunggo sa salakyan,vehicle collision injury,vehicle_trauma,hiligaynon,active
naaksidente ko,vehicle collision injury,vehicle_trauma,hiligaynon,active
indi ko makahambal,speech difficulty,speech_difficulty,hiligaynon,active
daw indi ko makahambal,speech difficulty,speech_difficulty,hiligaynon,active
dili ko makahambal,speech difficulty,speech_difficulty,hiligaynon,active
gusto ko magpakamatay,suicidal ideation,suicidal_ideation,hiligaynon,active
gusto ko magpatay,suicidal ideation,suicidal_ideation,hiligaynon,active
buot ko magpakamatay,suicidal ideation,suicidal_ideation,hiligaynon,active
ginkagat sang ido,dog bite,dog_bite,hiligaynon,active
ginkagat sang ido ko,dog bite,dog_bite,hiligaynon,active
ginkagat ko sang ido,dog bite,dog_bite,hiligaynon,active
ginabaldom gid ko,severe abdominal pain,severe_abdominal_pain,hiligaynon,active
masakit gid tiyan ko,severe abdominal pain,severe_abdominal_pain,hiligaynon,active
grabe sakit tiyan ko,severe abdominal pain,severe_abdominal_pain,hiligaynon,active
budlay magginhawa,difficulty breathing,breathing_difficulty,hiligaynon,active
dula ginhawa,difficulty breathing,breathing_difficulty,hiligaynon,active
indi ko makaginhawa,difficulty breathing,breathing_difficulty,hiligaynon,active
ginakapos,difficulty breathing,breathing_difficulty,hiligaynon,active
nagdugo,bleeding,bleeding,hiligaynon,active
gadugo,bleeding,bleeding,hiligaynon,active
nagadugo,bleeding,bleeding,hiligaynon,active
grabe gid nagadugo,bleeding,bleeding,hiligaynon,active
nagdugo gid,bleeding,bleeding,hiligaynon,active
masakit pag-ihi,painful urination,dysuria,hiligaynon,active
masakit pagihi,painful urination,dysuria,hiligaynon,active
sakit pag-ihi ko,painful urination,dysuria,hiligaynon,active
masakit pag-ihi ko,painful urination,dysuria,hiligaynon,active
galagas buhok,hair loss,hair_loss,hiligaynon,active
galagas buhok ko,hair loss,hair_loss,hiligaynon,active
nagalagas buhok ko,hair loss,hair_loss,hiligaynon,active
gakitol mata,eye irritation,eye_irritation,hiligaynon,active
mahamok mata ko,eye irritation,eye_irritation,hiligaynon,active
may butlig sa mata,eye irritation,eye_irritation,hiligaynon,active
nakuryente ko,electrical injury,electrical_injury,hiligaynon,active
nakuryente gid ko,electrical injury,electrical_injury,hiligaynon,active
nakuryente,electrical injury,electrical_injury,hiligaynon,active
wala ko maka-ihi,urinary retention,urinary_retention,hiligaynon,active
indi ko maka-ihi,urinary retention,urinary_retention,hiligaynon,active
wala maka-ihi,urinary retention,urinary_retention,hiligaynon,active
ginahilanat,fever,fever,hiligaynon,active
hilanat,fever,fever,hiligaynon,active
ginahilanat gid,fever,fever,hiligaynon,active
ginahilanat ko,fever,fever,hiligaynon,active
alta presyon,hypertension,hypertension,hiligaynon,active
alta presyon ko,hypertension,hypertension,hiligaynon,active
mataas presyon,hypertension,hypertension,hiligaynon,active
taas presyon,hypertension,hypertension,hiligaynon,active
nabun-og ulo,head injury,head_injury,hiligaynon,active
nabunog ulo,head injury,head_injury,hiligaynon,active
nabun-og ulo ko,head injury,head_injury,hiligaynon,active
nasumbag ulo ko,head injury,head_injury,hiligaynon,active
masakit dughan,chest pain,chest_pain,hiligaynon,active
sakit dughan,chest pain,chest_pain,hiligaynon,active
gasakit dughan,chest pain,chest_pain,hiligaynon,active
naguyam,seizure,seizure,hiligaynon,active
nag-uyam,seizure,seizure,hiligaynon,active
naguyam ko,seizure,seizure,hiligaynon,active
nag convulsion,seizure,seizure,hiligaynon,active
nasunog,burn,burn,hiligaynon,active
nasunog ko,burn,burn,hiligaynon,active
nasunog sang,burn,burn,hiligaynon,active
ginadudul-om,diarrhea,diarrhea,hiligaynon,active
ginadudulom,diarrhea,diarrhea,hiligaynon,active
dul-om,diarrhea,diarrhea,hiligaynon,active
dulom,diarrhea,diarrhea,hiligaynon,active
sakit ulo,headache,headache,hiligaynon,active
gasakit ulo,headache,headache,hiligaynon,active
masakit ulo,headache,headache,hiligaynon,active
sakit sa ulo,headache,headache,hiligaynon,active
nahilo tiyan,nausea,nausea,hiligaynon,active
ginasuka-uka,nausea,nausea,hiligaynon,active
ginabaldom,nausea,nausea,hiligaynon,active
gahabok,swelling,swelling,hiligaynon,active
gahubag,swelling,swelling,hiligaynon,active
hubag,swelling,swelling,hiligaynon,active
habok,swelling,swelling,hiligaynon,active
namaga,swelling,swelling,hiligaynon,active
gahubag gid,swelling,swelling,hiligaynon,active
may nana,infection,pus_infection,hiligaynon,active
nana,infection,pus_infection,hiligaynon,active
may nana sa,infection,pus_infection,hiligaynon,active
ginasuka,vomiting,vomiting,hiligaynon,active
ginasuka ko,vomiting,vomiting,hiligaynon,active
nagsuka,vomiting,vomiting,hiligaynon,active
gasakit,pain,pain,hiligaynon,active
masakit,pain,pain,hiligaynon,active
sakit,pain,pain,hiligaynon,active
ginabaldom,pain,pain,hiligaynon,active
gakatol,itching,itching,hiligaynon,active
kakatol,itching,itching,hiligaynon,active
ginakamang,itching,itching,hiligaynon,active
nabali,fracture,fracture,hiligaynon,active
naukas,fracture,fracture,hiligaynon,active
nabali ko,fracture,fracture,hiligaynon,active
nabali ang,fracture,fracture,hiligaynon,active
galuya,weakness,weakness,hiligaynon,active
maluya,weakness,weakness,hiligaynon,active
kapoy gid,weakness,weakness,hiligaynon,active
may pilas,wound,wound,hiligaynon,active
pilas,wound,wound,hiligaynon,active
pilas ko,wound,wound,hiligaynon,active
nautod,amputation,amputation,hiligaynon,active
na-utod,amputation,amputation,hiligaynon,active
nautod ko,amputation,amputation,hiligaynon,active
nahilo,dizziness,dizziness,hiligaynon,active
nahilo ko,dizziness,dizziness,hiligaynon,active
nahihilo,dizziness,dizziness,hiligaynon,active
gapula,redness,redness,hiligaynon,active
mapula,redness,redness,hiligaynon,active
