symptom_id,symptom_name,category,description,related_body_system,search_name,source
36001,Small Fetal Abdominal Circumference,gastrointestinal,"HPO exact synonym for Decreased Fetal Abdominal Circumference. HPO HP:6000339: The distance around the abdomen of a fetus, generally as measured by prenatal sonography, is below the lower limit of normal.",gastrointestinal,small fetal abdominal circumference,HPO
36002,Small Fifth Toenail,general,HPO exact synonym for Hypoplastic Fifth Toenail. HPO HP:0011937: Underdeveloped nails of the fifth toes.,general,small fifth toenail,HPO
36003,Small Finger,general,"HPO HP:0030033: Significant reduction in both length and girth of the finger compared to the contralateral finger, or alternatively, compared to a typical finger size for an age-matched individual.",general,small finger,HPO
36004,Small Fingernail,general,HPO exact synonym for Hypoplastic Fingernail. HPO HP:0001804: Underdevelopment of a fingernail.,general,small fingernail,HPO
36005,Small First Rib,general,HPO exact synonym for Hypoplasia of First Ribs. HPO HP:0006657: Human Phenotype Ontology term HP:0006657: Hypoplasia of First Ribs.,general,small first rib,HPO
36006,Small Flat Posterior Fossa,general,HPO HP:0005759: An abnormally small and flat configuration of the posterior cranial fossa.,general,small flat posterior fossa,HPO
36007,Small Fontanelle,general,HPO HP:0005486: A fontanelle that is small for age.,general,small fontanelle,HPO
36008,Small for Gestational Age,general,"HPO HP:0001518: Smaller than normal size according to sex and gestational age related norms, defined as a weight below the 10th percentile for the gestational age.",general,small for gestational age,HPO
36009,Small for Gestational Age Infant,pediatric,HPO exact synonym for Intrauterine Growth Retardation. HPO HP:0001511: An abnormal restriction of fetal growth with fetal weight below the tenth percentile for gestational age.,general,small for gestational age infant,HPO
36010,Small Foramen Magnum,general,HPO HP:0002677: An abnormal narrowing of the foramen magnum.,general,small foramen magnum,HPO
36011,Small Forehead,general,HPO HP:0000350: The presence of a forehead that is abnormally small.,general,small forehead,HPO
36012,Small Forehead Fontanel,general,HPO exact synonym for Small Anterior Fontanelle. HPO HP:0000237: Abnormally decreased size of the anterior fontanelle with respect to age-dependent norms.,general,small forehead fontanel,HPO
36013,Small Frontal Sinuses,general,HPO exact synonym for Hypoplastic Frontal Sinuses. HPO HP:0002738: Underdevelopment of frontal sinus.,general,small frontal sinuses,HPO
36014,Small Genitalia,reproductive,HPO exact synonym for External Genital Hypoplasia. HPO HP:0003241: Underdevelopment of part or all of the external reproductive organs.,reproductive,small genitalia,HPO
36015,Small Hallux,general,HPO exact synonym for Short Hallux. HPO HP:0010109: Underdevelopment (hypoplasia) of the big toe.,general,small hallux,HPO
36016,Small Hand,general,HPO HP:0200055: Disproportionately small hand.,general,small hand,HPO
36017,Small Head Circumference,general,HPO exact synonym for Microcephaly. HPO HP:0000252: Head circumference below 2 standard deviations below the mean for age and gender.,general,small head circumference,HPO
36018,Small Head of Thigh Bone,musculoskeletal,HPO exact synonym for Hypoplasia of the Femoral Head. HPO HP:0008802: Underdevelopment of the femoral head.,musculoskeletal,small head of thigh bone,HPO
