rule_id,name,pattern_english,pattern_hiligaynon,classification,rationale,status
U0001,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0002,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0003,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0004,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0005,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0006,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0007,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0008,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0009,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0010,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0011,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0012,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0013,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0014,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0015,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0016,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0017,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0018,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0019,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0020,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0021,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0022,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0023,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0024,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0025,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0026,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0027,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0028,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0029,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0030,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0031,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0032,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0033,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0034,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0035,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0036,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0037,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0038,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0039,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0040,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0041,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0042,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0043,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0044,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0045,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0046,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0047,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0048,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0049,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0050,Fever 5 Days,fever 5 days,,URGENT,Urgent evaluation for fever 5 days,active
U0051,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0052,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0053,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0054,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0055,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0056,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0057,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0058,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0059,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0060,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0061,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0062,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0063,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0064,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0065,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0066,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0067,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0068,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0069,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0070,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0071,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0072,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0073,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
U0074,Persistent Vomiting,persistent vomiting,,URGENT,Urgent evaluation for persistent vomiting,active
