rule_id,complaint_context,clinical_sign,red_flag,clinical_pattern,triage_level,priority,source,source_reference
IITT-R001,any,Unresponsive,1,"\b(unresponsive|wala\s+(sang\s+)?malay|walang\s+malay|nadulaan\s+(ko\s+)?malay|unconscious|indi\s+makamata|di\s+makamata|hindi\s+makamata|coma|comatose|no\s+response)\b",EMERGENCY,10,WHO IITT,WHO Interagency Integrated Triage Tool Age ≥12 — RED Disability: Unresponsive (https://www.who.int/tools/triage)
IITT-R002,respiratory,Stridor,1,"\b(stridor|huni\s+sa\s+ginhawa|noisy\s+breathing\s+in|maingay\s+(ang\s+)?paghinga|huni\s+sa\s+paghinga)\b",EMERGENCY,20,WHO IITT,WHO IITT Age ≥12 — RED Airway & Breathing: Stridor
IITT-R003,respiratory,Respiratory distress or central cyanosis,1,"\b(respiratory\s+distress|central\s+cyanosis|cannot\s+breathe|can'?t\s+breathe|indi\s+(ko\s+)?makaginhawa|indi\s+makaginhawa|di\s+(ako\s+)?makahinga|hindi\s+(ako\s+)?makahinga|budlay\s+(gid\s+)?(mag)?ginhawa|hirap.{0,24}huminga|hirap\s+(na\s+)?huminga|accessory\s+muscle|cyanosis|asul\s+ang\s+(ngabil|labi)|blue\s+lips|air\s+hunger|nabubulahaw)\b",EMERGENCY,30,WHO IITT,WHO IITT Age ≥12 — RED Airway & Breathing: Respiratory distress* or central cyanosis; Reference card signs of respiratory distress
IITT-R004,bleeding,Heavy bleeding,1,"\b(heavy\s+bleeding|severe\s+bleeding|uncontrolled\s+bleeding|grabe\s+(gid\s+)?nagadugo|indi\s+mapunggan\s+(ang\s+)?dugo|massive\s+(vaginal\s+)?bleeding|dumudugo\s+(ng\s+)?madami|hindi\s+mapigil\s+(ang\s+)?dugo)\b",EMERGENCY,40,WHO IITT,WHO IITT Age ≥12 — RED Circulation: Heavy bleeding
IITT-R005,neuro,Active convulsions,1,"\b(active\s+convulsion|seizure|naguyam|nanginig|naga-seizure|fit\s+now|kombulsiyon|convulsion|nanghihina\s+at\s+nanginginig|may\s+seizure)\b",EMERGENCY,50,WHO IITT,WHO IITT Age ≥12 — RED Disability: Active convulsions
IITT-R006,trauma,High-risk trauma mechanism,1,"\b(high[- ]risk\s+trauma|motor\s+vehicle|car\s+crash|nabunggo|naaksidente|gunshot|stab\s+wound|nasaksak|fall\s+from|natumba\s+sa\s+taas|polytrauma|crush\s+injury|nahulog\s+mula\s+sa\s+taas)\b",EMERGENCY,60,WHO IITT,WHO IITT Reference Card — High-Risk Trauma Criteria; RED Other: High-risk trauma*
IITT-R007,toxicology,Poisoning or dangerous chemical exposure,1,"\b(poison|poisoning|lason|pagkalason|overdose|pesticide|organophosphate|chemical\s+exposure|naka-inom\s+sang\s+lason|nakainom\s+(ng\s+)?lason|uminom\s+ng\s+lason)\b",EMERGENCY,70,WHO IITT,WHO IITT Age ≥12 — RED Other: Poisoning/ingestion or dangerous chemical exposure*
IITT-R008,trauma,Threatened limb,1,"\b(threatened\s+limb|pulseless\s+limb|limb\s+(pale|numb)\s+after\s+trauma|wala\s+pulse\s+sa\s+(tiil|kamot)|walang\s+pulse\s+sa\s+(paa|kamay))\b",EMERGENCY,80,WHO IITT,WHO IITT Reference Card — Threatened Limb; RED Other: Threatened limb*
IITT-R009,toxicology,Snake bite,1,"\b(snake\s+bite|snakebite|ginsugata\s+sang\s+man-og|ginga\s*tuka\s+sang\s+man-og|bitten\s+by\s+(a\s+)?snake|nakagat.{0,24}ahas|kagat\s+(ng\s+)?ahas)\b",EMERGENCY,90,WHO IITT,WHO IITT Age ≥12 — RED Other: Snake bite
IITT-R010,pregnancy,Pregnant with heavy bleeding,1,"\b(buntis|pregnant).{0,40}\b(heavy\s+bleeding|grabe\s+nagadugo|may\s+dugo|bleeding|dumudugo)\b",EMERGENCY,100,WHO IITT,WHO IITT Age ≥12 — RED Pregnant with: Heavy bleeding
IITT-R011,pregnancy,Pregnant with seizures or altered mental status,1,"\b(buntis|pregnant).{0,40}\b(seizure|naguyam|kombulsiyon|confused|unresponsive|altered|nalilito)\b",EMERGENCY,110,WHO IITT,WHO IITT Age ≥12 — RED Pregnant with: Seizures or altered mental status
